TRANSACTIONID,CUSTOMERID,TRANSACTIONAMOUNT,ISSTANDARDORDER,ISURGENT,PRODUCTCATEGORY,WAREHOUSE_COST_BASE,URGENT_SURCHARGE,TOTAL_WAREHOUSE_COST
TXN-2023-000106,CUST-006,2030.96,true,false,Fresh,50.77,0.00,50.77
TXN-2023-000107,CUST-006,1452.43,true,false,Grocery,29.05,0.00,29.05
TXN-2023-000108,CUST-006,1479.00,true,false,Grocery,29.58,0.00,29.58
TXN-2023-000109,CUST-006,3165.01,true,false,Grocery,79.13,0.00,79.13
TXN-2023-000110,CUST-007,1180.47,true,false,DetergentsPaper,23.61,0.00,23.61
TXN-2023-000111,CUST-007,1902.38,true,false,Fresh,38.05,0.00,38.05
TXN-2023-000112,CUST-007,966.93,true,false,Fresh,19.34,0.00,19.34
TXN-2023-000113,CUST-007,1945.61,true,false,Fresh,38.91,0.00,38.91
TXN-2023-000114,CUST-007,1988.85,true,false,Milk,39.78,0.00,39.78
TXN-2023-000115,CUST-007,2212.56,true,false,Fresh,55.31,0.00,55.31
TXN-2023-000116,CUST-007,1465.58,true,true,Grocery,29.31,14.66,43.97
TXN-2023-000117,CUST-007,1334.37,true,false,DetergentsPaper,26.69,0.00,26.69
TXN-2023-000118,CUST-007,1860.69,true,false,Milk,37.21,0.00,37.21
TXN-2023-000119,CUST-007,1699.52,true,false,DetergentsPaper,33.99,0.00,33.99
TXN-2023-000120,CUST-007,1191.69,true,false,Fresh,23.83,0.00,23.83
TXN-2023-000121,CUST-007,1890.97,true,false,Milk,37.82,0.00,37.82
TXN-2023-000122,CUST-007,767.14,true,false,Grocery,15.34,0.00,15.34
TXN-2023-000123,CUST-007,1294.16,true,false,DetergentsPaper,25.88,0.00,25.88
TXN-2023-000124,CUST-007,1761.29,true,false,Fresh,35.23,0.00,35.23
TXN-2023-000125,CUST-007,825.25,true,false,Fresh,16.51,0.00,16.51
TXN-2023-000126,CUST-007,1551.00,true,false,Grocery,31.02,0.00,31.02
TXN-2023-000127,CUST-007,626.53,false,false,Fresh,12.53,0.00,12.53
TXN-2023-000128,CUST-008,2416.21,true,false,Grocery,60.41,0.00,60.41
TXN-2023-000129,CUST-008,2416.21,true,false,Delicatessen,60.41,0.00,60.41
TXN-2023-000130,CUST-008,2252.96,true,false,Delicatessen,56.32,0.00,56.32
TXN-2023-000131,CUST-008,659.54,true,false,Grocery,13.19,0.00,13.19
TXN-2023-000132,CUST-008,2466.25,true,false,DetergentsPaper,61.66,0.00,61.66
TXN-2023-000133,CUST-008,2693.93,true,false,Grocery,67.35,0.00,67.35
TXN-2023-000134,CUST-008,580.75,true,false,Fresh,11.62,0.00,11.62
TXN-2023-000135,CUST-008,2523.69,true,false,DetergentsPaper,63.09,0.00,63.09
TXN-2023-000136,CUST-008,998.10,true,false,Delicatessen,19.96,0.00,19.96
TXN-2023-000137,CUST-008,1161.41,true,false,Grocery,23.23,0.00,23.23
TXN-2023-000138,CUST-008,1767.06,true,false,Frozen,35.34,0.00,35.34
TXN-2023-000139,CUST-008,1168.36,true,false,Grocery,23.37,0.00,23.37
TXN-2023-000140,CUST-008,1587.02,true,false,Delicatessen,31.74,0.00,31.74
TXN-2023-000141,CUST-008,1477.32,true,false,Fresh,29.55,0.00,29.55
TXN-2023-000142,CUST-008,1504.21,true,false,DetergentsPaper,30.08,0.00,30.08
TXN-2023-000143,CUST-008,3843.97,true,false,Fresh,96.10,0.00,96.10
TXN-2023-000144,CUST-009,103.35,false,false,Fresh,2.07,0.00,2.07
TXN-2023-000145,CUST-009,625.99,false,false,DetergentsPaper,12.52,0.00,12.52
TXN-2023-000146,CUST-009,444.53,false,false,DetergentsPaper,8.89,0.00,8.89
TXN-2023-000147,CUST-009,497.13,true,false,Grocery,9.94,0.00,9.94
TXN-2023-000148,CUST-009,309.96,true,false,DetergentsPaper,6.20,0.00,6.20
TXN-2023-000149,CUST-009,377.55,true,false,Fresh,7.55,0.00,7.55
TXN-2023-000150,CUST-009,384.93,true,false,Delicatessen,7.70,0.00,7.70
TXN-2023-000151,CUST-009,407.61,true,false,Milk,8.15,0.00,8.15
TXN-2023-000152,CUST-009,584.55,true,false,Fresh,11.69,0.00,11.69
TXN-2023-000153,CUST-009,421.68,false,false,Milk,8.43,0.00,8.43
TXN-2023-000154,CUST-009,421.98,false,false,Frozen,8.44,0.00,8.44
TXN-2023-000155,CUST-009,1243.42,true,false,Milk,24.87,0.00,24.87
TXN-2023-000156,CUST-009,492.81,false,false,Fresh,9.86,0.00,9.86
TXN-2023-000157,CUST-009,205.92,true,false,Grocery,4.12,0.00,4.12
TXN-2023-000158,CUST-009,534.11,true,false,Grocery,10.68,0.00,10.68
TXN-2023-000159,CUST-009,246.87,true,false,Fresh,4.94,0.00,4.94
TXN-2023-000160,CUST-009,787.65,true,true,DetergentsPaper,15.75,7.88,23.63
TXN-2023-000161,CUST-009,855.92,true,false,Grocery,17.12,0.00,17.12
TXN-2023-000162,CUST-009,160.43,false,false,Grocery,3.21,0.00,3.21
TXN-2023-000163,CUST-009,453.86,true,false,Grocery,9.08,0.00,9.08
TXN-2023-000164,CUST-009,832.46,true,false,Fresh,16.65,0.00,16.65
TXN-2023-000165,CUST-009,696.46,true,false,DetergentsPaper,13.93,0.00,13.93
TXN-2023-000166,CUST-009,197.81,true,false,Fresh,3.96,0.00,3.96
TXN-2023-000167,CUST-009,211.74,true,false,Grocery,4.23,0.00,4.23
TXN-2023-000168,CUST-009,557.15,true,false,Grocery,11.14,0.00,11.14
TXN-2023-000169,CUST-009,472.56,false,true,Milk,9.45,4.73,14.18
TXN-2023-000170,CUST-009,411.64,false,false,Delicatessen,8.23,0.00,8.23
TXN-2023-000171,CUST-009,572.80,true,false,Fresh,11.46,0.00,11.46
TXN-2023-000172,CUST-009,381.51,false,false,DetergentsPaper,7.63,0.00,7.63
TXN-2023-000173,CUST-009,321.00,false,false,Grocery,6.42,0.00,6.42
TXN-2023-000174,CUST-009,841.14,false,true,Grocery,16.82,8.41,25.23
TXN-2023-000175,CUST-009,1312.30,true,false,Grocery,26.25,0.00,26.25
TXN-2023-000176,CUST-009,346.77,true,false,Fresh,6.94,0.00,6.94
TXN-2023-000177,CUST-009,277.85,true,false,Fresh,5.56,0.00,5.56
TXN-2023-000178,CUST-009,376.04,false,false,Grocery,7.52,0.00,7.52
TXN-2023-000179,CUST-009,479.90,false,false,Fresh,9.60,0.00,9.60
TXN-2023-000180,CUST-009,146.57,false,false,Fresh,2.93,0.00,2.93
TXN-2023-000181,CUST-009,336.97,true,false,Fresh,6.74,0.00,6.74
TXN-2023-000182,CUST-009,361.11,false,false,Milk,7.22,0.00,7.22
TXN-2023-000183,CUST-010,4843.15,true,false,DetergentsPaper,121.08,0.00,121.08
TXN-2023-000184,CUST-010,3541.49,true,false,Grocery,88.54,0.00,88.54
TXN-2023-000185,CUST-010,2534.66,true,false,Milk,63.37,0.00,63.37
TXN-2023-000186,CUST-010,822.83,true,false,Milk,16.46,0.00,16.46
TXN-2023-000187,CUST-010,1996.26,true,false,Fresh,39.93,0.00,39.93
TXN-2023-000188,CUST-010,2187.58,true,false,Fresh,54.69,0.00,54.69
TXN-2023-000189,CUST-010,3132.79,true,false,DetergentsPaper,78.32,0.00,78.32
TXN-2023-000190,CUST-010,1400.02,true,false,Grocery,28.00,0.00,28.00
TXN-2023-000191,CUST-010,1784.50,true,false,Grocery,35.69,0.00,35.69
TXN-2023-000192,CUST-010,1828.28,true,false,Grocery,36.57,0.00,36.57
TXN-2023-000193,CUST-010,5347.96,true,false,Milk,133.70,0.00,133.70
TXN-2023-000194,CUST-010,4560.53,true,false,Frozen,114.01,0.00,114.01
TXN-2023-000195,CUST-010,5651.14,true,false,Grocery,141.28,0.00,141.28
TXN-2023-000196,CUST-010,2731.44,true,false,Grocery,68.29,0.00,68.29
TXN-2023-000197,CUST-010,4299.36,true,true,Delicatessen,107.48,42.99,150.48
TXN-2023-000198,CUST-011,2631.10,true,false,Grocery,65.78,0.00,65.78
TXN-2023-000199,CUST-011,913.72,true,false,Milk,18.27,0.00,18.27
TXN-2023-000200,CUST-011,1735.90,true,false,Frozen,34.72,0.00,34.72
TXN-2023-000201,CUST-011,762.15,true,false,Grocery,15.24,0.00,15.24
TXN-2023-000202,CUST-011,1431.66,true,false,Grocery,28.63,0.00,28.63
TXN-2023-000203,CUST-011,3273.48,true,false,Milk,81.84,0.00,81.84
TXN-2023-000204,CUST-011,1554.02,true,false,DetergentsPaper,31.08,0.00,31.08
TXN-2023-000205,CUST-011,2751.60,true,false,Milk,68.79,0.00,68.79
TXN-2023-000206,CUST-011,991.76,true,false,DetergentsPaper,19.84,0.00,19.84
TXN-2023-000207,CUST-011,1670.95,true,false,Frozen,33.42,0.00,33.42
TXN-2023-000208,CUST-011,1670.45,true,false,Grocery,33.41,0.00,33.41
TXN-2023-000209,CUST-011,3038.19,true,false,Grocery,75.95,0.00,75.95
TXN-2023-000210,CUST-011,3665.53,true,false,Grocery,91.64,0.00,91.64
TXN-2023-000211,CUST-011,2832.97,true,false,Grocery,70.82,0.00,70.82
TXN-2023-000212,CUST-011,3231.26,true,false,Frozen,80.78,0.00,80.78
TXN-2023-000213,CUST-011,1709.27,true,false,Milk,34.19,0.00,34.19
TXN-2023-000214,CUST-012,1646.45,true,false,Fresh,32.93,0.00,32.93
TXN-2023-000215,CUST-012,1736.94,true,false,Fresh,34.74,0.00,34.74
TXN-2023-000216,CUST-012,1384.40,true,false,Grocery,27.69,0.00,27.69
TXN-2023-000217,CUST-012,602.55,true,false,Fresh,12.05,0.00,12.05
TXN-2023-000218,CUST-012,1483.26,true,false,Fresh,29.67,0.00,29.67
TXN-2023-000219,CUST-012,2026.43,true,false,Fresh,50.66,0.00,50.66
TXN-2023-000220,CUST-012,456.53,true,false,Fresh,9.13,0.00,9.13
TXN-2023-000221,CUST-012,1489.54,true,false,Fresh,29.79,0.00,29.79
TXN-2023-000222,CUST-012,2354.52,true,false,Grocery,58.86,0.00,58.86
TXN-2023-000223,CUST-012,2153.45,true,false,Fresh,53.84,0.00,53.84
TXN-2023-000224,CUST-012,1257.19,true,false,Fresh,25.14,0.00,25.14
TXN-2023-000225,CUST-012,1200.11,true,false,Milk,24.00,0.00,24.00
TXN-2023-000226,CUST-012,1656.65,true,false,Grocery,33.13,0.00,33.13
TXN-2023-000227,CUST-012,740.90,true,false,Fresh,14.82,0.00,14.82
TXN-2023-000228,CUST-012,1070.08,true,false,Fresh,21.40,0.00,21.40
TXN-2023-000229,CUST-013,6786.70,true,false,Grocery,169.67,0.00,169.67
TXN-2023-000230,CUST-013,1747.59,true,true,Fresh,34.95,17.48,52.43
TXN-2023-000231,CUST-013,2597.33,true,false,Milk,64.93,0.00,64.93
TXN-2023-000232,CUST-013,3860.25,true,false,Grocery,96.51,0.00,96.51
TXN-2023-000233,CUST-013,1937.35,true,false,Fresh,38.75,0.00,38.75
TXN-2023-000234,CUST-013,5731.69,true,false,Milk,143.29,0.00,143.29
TXN-2023-000235,CUST-013,2195.39,true,false,Milk,54.88,0.00,54.88
TXN-2023-000236,CUST-013,5476.64,true,false,Fresh,136.92,0.00,136.92
TXN-2023-000237,CUST-013,1793.57,true,false,Milk,35.87,0.00,35.87
TXN-2023-000238,CUST-013,1952.64,true,false,Fresh,39.05,0.00,39.05
TXN-2023-000239,CUST-013,3332.61,true,false,Grocery,83.32,0.00,83.32
TXN-2023-000240,CUST-013,9001.76,true,false,Milk,225.04,0.00,225.04
TXN-2023-000241,CUST-013,5018.68,false,false,Fresh,125.47,0.00,125.47
TXN-2023-000242,CUST-013,3943.25,true,false,Grocery,98.58,0.00,98.58
TXN-2023-000243,CUST-013,2313.26,false,false,Grocery,57.83,0.00,57.83
TXN-2023-000244,CUST-013,5200.27,true,false,Milk,130.01,0.00,130.01
TXN-2023-000245,CUST-014,1165.81,true,false,Milk,23.32,0.00,23.32
TXN-2023-000246,CUST-014,3828.24,true,true,Fresh,95.71,38.28,133.99
TXN-2023-000247,CUST-014,1858.05,true,false,Fresh,37.16,0.00,37.16
TXN-2023-000248,CUST-014,2005.49,true,false,Grocery,50.14,0.00,50.14
TXN-2023-000249,CUST-014,1676.10,true,false,DetergentsPaper,33.52,0.00,33.52
TXN-2023-000250,CUST-014,1861.02,true,false,Fresh,37.22,0.00,37.22
TXN-2023-000251,CUST-014,1707.19,true,false,DetergentsPaper,34.14,0.00,34.14
TXN-2023-000252,CUST-014,1698.44,true,false,Fresh,33.97,0.00,33.97
TXN-2023-000253,CUST-014,3161.72,false,false,Grocery,79.04,0.00,79.04
TXN-2023-000254,CUST-014,7388.80,false,true,Milk,184.72,73.89,258.61
TXN-2023-000255,CUST-014,3818.64,false,false,Fresh,95.47,0.00,95.47
TXN-2023-000256,CUST-014,3449.18,true,false,Milk,86.23,0.00,86.23
TXN-2023-000257,CUST-014,1243.48,true,false,Fresh,24.87,0.00,24.87
TXN-2023-000258,CUST-014,2201.13,true,false,Fresh,55.03,0.00,55.03
TXN-2023-000259,CUST-014,931.80,false,false,Fresh,18.64,0.00,18.64
TXN-2023-000260,CUST-014,7388.80,true,false,Grocery,184.72,0.00,184.72
TXN-2023-000261,CUST-014,3821.62,true,false,Fresh,95.54,0.00,95.54
TXN-2023-000262,CUST-014,3605.47,true,false,Fresh,90.14,0.00,90.14
TXN-2023-000263,CUST-015,5786.69,true,false,Grocery,144.67,0.00,144.67
TXN-2023-000264,CUST-015,1297.84,true,false,Grocery,25.96,0.00,25.96
TXN-2023-000265,CUST-015,2914.60,true,false,Grocery,72.87,0.00,72.87
TXN-2023-000266,CUST-015,2573.48,true,false,Milk,64.34,0.00,64.34
TXN-2023-000267,CUST-015,4389.27,true,false,Fresh,109.73,0.00,109.73
TXN-2023-000268,CUST-015,5659.45,true,false,Delicatessen,141.49,0.00,141.49
TXN-2023-000269,CUST-015,4382.07,true,false,Grocery,109.55,0.00,109.55
TXN-2023-000270,CUST-015,4299.11,true,true,Milk,107.48,42.99,150.47
TXN-2023-000271,CUST-015,10912.75,true,false,Grocery,272.82,0.00,272.82
TXN-2023-000272,CUST-015,5311.09,true,false,Milk,132.78,0.00,132.78
TXN-2023-000273,CUST-015,1971.27,true,false,Grocery,39.43,0.00,39.43
TXN-2023-000274,CUST-015,4231.38,true,false,Fresh,105.78,0.00,105.78
TXN-2023-000275,CUST-016,1139.64,false,false,Grocery,22.79,0.00,22.79
TXN-2023-000276,CUST-016,345.71,true,false,Grocery,6.91,0.00,6.91
TXN-2023-000277,CUST-016,427.02,true,false,Fresh,8.54,0.00,8.54
TXN-2023-000278,CUST-016,284.19,false,false,Fresh,5.68,0.00,5.68
TXN-2023-000279,CUST-016,354.79,true,false,Fresh,7.10,0.00,7.10
TXN-2023-000280,CUST-016,423.70,true,false,Fresh,8.47,0.00,8.47
TXN-2023-000281,CUST-016,1165.54,true,false,Fresh,23.31,0.00,23.31
TXN-2023-000282,CUST-016,338.39,true,false,DetergentsPaper,6.77,0.00,6.77
TXN-2023-000283,CUST-016,591.58,false,false,Delicatessen,11.83,0.00,11.83
TXN-2023-000284,CUST-016,304.30,true,false,Fresh,6.09,0.00,6.09
TXN-2023-000285,CUST-016,266.27,true,true,Fresh,5.33,2.66,7.99
TXN-2023-000286,CUST-016,400.19,false,false,Fresh,8.00,0.00,8.00
TXN-2023-000287,CUST-016,683.63,true,false,Grocery,13.67,0.00,13.67
TXN-2023-000288,CUST-016,612.64,true,false,Fresh,12.25,0.00,12.25
TXN-2023-000289,CUST-016,417.55,true,false,Fresh,8.35,0.00,8.35
TXN-2023-000290,CUST-016,770.39,true,false,Grocery,15.41,0.00,15.41
TXN-2023-000291,CUST-016,323.02,false,false,Grocery,6.46,0.00,6.46
TXN-2023-000292,CUST-016,257.39,true,false,Fresh,5.15,0.00,5.15
TXN-2023-000293,CUST-016,291.33,false,true,Grocery,5.83,2.91,8.74
TXN-2023-000294,CUST-016,208.08,true,true,Fresh,4.16,2.08,6.24
TXN-2023-000295,CUST-016,590.03,true,false,Fresh,11.80,0.00,11.80
TXN-2023-000296,CUST-016,623.11,true,false,Fresh,12.46,0.00,12.46
TXN-2023-000297,CUST-016,240.21,false,false,Milk,4.80,0.00,4.80
TXN-2023-000298,CUST-016,1012.99,true,false,Milk,20.26,0.00,20.26
TXN-2023-000299,CUST-016,357.94,true,false,Fresh,7.16,0.00,7.16
TXN-2023-000300,CUST-016,248.12,true,false,DetergentsPaper,4.96,0.00,4.96
TXN-2023-000301,CUST-016,332.79,true,false,Delicatessen,6.66,0.00,6.66
TXN-2023-000302,CUST-016,690.90,true,false,Delicatessen,13.82,0.00,13.82
TXN-2023-000303,CUST-016,479.00,true,false,Fresh,9.58,0.00,9.58
TXN-2023-000304,CUST-016,410.74,true,false,DetergentsPaper,8.21,0.00,8.21
TXN-2023-000305,CUST-016,307.89,true,false,Grocery,6.16,0.00,6.16
TXN-2023-000306,CUST-016,589.54,true,false,Fresh,11.79,0.00,11.79
TXN-2023-000307,CUST-016,155.34,false,false,Grocery,3.11,0.00,3.11
TXN-2023-000308,CUST-016,436.49,true,false,Fresh,8.73,0.00,8.73
TXN-2023-000309,CUST-016,299.44,true,false,Grocery,5.99,0.00,5.99
TXN-2023-000310,CUST-016,209.17,true,false,Fresh,4.18,0.00,4.18
TXN-2023-000311,CUST-016,103.19,true,false,Grocery,2.06,0.00,2.06
TXN-2023-000312,CUST-016,268.77,true,false,Fresh,5.38,0.00,5.38
TXN-2023-000313,CUST-017,1651.23,true,false,Milk,33.02,0.00,33.02
TXN-2023-000314,CUST-017,1605.52,true,false,Grocery,32.11,0.00,32.11
TXN-2023-000315,CUST-017,1411.46,false,false,Grocery,28.23,0.00,28.23
TXN-2023-000316,CUST-017,1019.27,true,false,Milk,20.39,0.00,20.39
TXN-2023-000317,CUST-017,526.91,true,false,Delicatessen,10.54,0.00,10.54
TXN-2023-000318,CUST-017,563.10,true,false,Grocery,11.26,0.00,11.26
TXN-2023-000319,CUST-017,1233.84,false,false,DetergentsPaper,24.68,0.00,24.68
TXN-2023-000320,CUST-017,1993.74,true,false,Grocery,39.87,0.00,39.87
TXN-2023-000321,CUST-017,2211.13,true,false,Grocery,55.28,0.00,55.28
TXN-2023-000322,CUST-017,952.25,true,false,Milk,19.05,0.00,19.05
TXN-2023-000323,CUST-017,879.90,true,false,Grocery,17.60,0.00,17.60
TXN-2023-000324,CUST-017,1099.05,true,false,Fresh,21.98,0.00,21.98
TXN-2023-000325,CUST-017,1507.04,true,false,Grocery,30.14,0.00,30.14
TXN-2023-000326,CUST-017,1789.78,true,false,Grocery,35.80,0.00,35.80
TXN-2023-000327,CUST-017,1898.99,true,false,Milk,37.98,0.00,37.98
TXN-2023-000328,CUST-017,2864.64,true,false,Grocery,71.62,0.00,71.62
