TransactionID,CustomerID,CustomerSegment,ProductCategory,OrderMonth,PaymentTerms,IsStandardOrder,IsUrgent,TransactionAmount,COGS_EUR,WarehouseCost_EUR,ShippingCost_EUR,ReturnsCost_EUR,InterestCost_EUR,OverheadCost_EUR,TotalCost_EUR,Profit_EUR,ProfitMargin_Pct,CostToRevenue_Pct,ProfitabilityCategory,ShouldRaisePrice,ShouldReduceCost,ShouldReviewCustomer
TXN-2023-000049,CUST-004,Mid-Market,Delicatessen,2,Net-60,False,False,309.44,185.66,232.21,43.52,102.4,2.54,97.59,663.92,-354.48,-114.56,214.56,Loss,True,True,True
TXN-2023-000050,CUST-004,Mid-Market,Fresh,3,Net-90,True,False,1510.24,906.14,418.82,0.0,0.0,18.62,99.59,1443.17,67.07,4.44,95.56,Highly Profitable,False,True,True
TXN-2023-000051,CUST-004,Mid-Market,Milk,3,Net-90,False,False,1131.87,679.12,309.53,64.62,0.0,13.95,94.59,1161.81,-29.94,-2.65,102.65,Loss,True,True,True
TXN-2023-000052,CUST-004,Mid-Market,Delicatessen,3,Net-60,False,False,421.72,253.03,255.88,45.36,0.0,3.47,97.59,655.33,-233.61,-55.4,155.4,Loss,True,True,True
TXN-2023-000053,CUST-004,Mid-Market,Grocery,4,Net-90,False,False,427.59,256.55,130.27,80.42,0.0,5.27,84.59,557.1,-129.51,-30.29,130.29,Loss,True,True,True
TXN-2023-000054,CUST-004,Mid-Market,Frozen,4,Net-90,False,False,526.61,315.97,123.07,44.54,0.0,6.49,89.59,579.66,-53.05,-10.07,110.07,Loss,True,True,True
TXN-2023-000055,CUST-004,Mid-Market,Grocery,5,Net-60,True,False,533.51,320.11,89.86,0.0,0.0,4.39,84.59,498.95,34.56,6.48,93.52,Profitable,False,False,False
TXN-2023-000056,CUST-004,Mid-Market,Fresh,5,Net-60,True,False,1531.76,919.06,383.07,0.0,0.0,12.59,99.59,1414.31,117.45,7.67,92.33,Highly Profitable,False,False,False
TXN-2023-000057,CUST-004,Mid-Market,Frozen,5,Net-60,True,False,594.93,356.96,88.64,0.0,0.0,4.89,89.59,540.08,54.85,9.22,90.78,Highly Profitable,False,False,False
TXN-2023-000058,CUST-004,Mid-Market,Fresh,5,Net-90,False,False,376.86,226.12,274.46,69.75,0.0,4.65,99.59,674.57,-297.71,-79.0,179.0,Loss,True,True,True
TXN-2023-000059,CUST-004,Mid-Market,Grocery,6,Net-60,False,True,472.27,283.36,155.71,103.98,0.0,3.88,84.59,631.52,-159.25,-33.72,133.72,Loss,True,True,True
TXN-2023-000060,CUST-004,Mid-Market,Frozen,6,Net-30,True,True,210.88,126.53,70.59,0.0,0.0,0.87,89.59,287.58,-76.7,-36.37,136.37,Loss,True,True,True
TXN-2023-000061,CUST-004,Mid-Market,Fresh,6,Net-30,True,False,486.94,292.16,155.77,0.0,0.0,2.0,99.59,549.52,-62.58,-12.85,112.85,Loss,True,True,True
TXN-2023-000062,CUST-004,Mid-Market,Frozen,6,Net-30,False,False,644.05,386.43,187.81,49.22,0.0,2.65,89.59,715.7,-71.65,-11.12,111.12,Loss,True,True,True
TXN-2023-000063,CUST-004,Mid-Market,Frozen,7,Net-30,True,True,482.1,289.26,140.57,0.0,0.0,1.98,89.59,521.4,-39.3,-8.15,108.15,Loss,True,True,True
TXN-2023-000064,CUST-004,Mid-Market,Frozen,7,Net-60,True,True,641.33,384.8,162.63,0.0,0.0,5.27,89.59,642.29,-0.96,-0.15,100.15,Breakeven,True,True,True
TXN-2023-000065,CUST-004,Mid-Market,Fresh,7,Net-30,False,False,1234.97,740.98,503.05,137.19,0.0,5.08,99.59,1485.89,-250.92,-20.32,120.32,Loss,True,True,True
TXN-2023-000066,CUST-004,Mid-Market,Grocery,8,Net-90,True,False,293.02,175.81,55.18,0.0,0.0,3.61,84.59,319.19,-26.17,-8.93,108.93,Loss,True,True,True
TXN-2023-000067,CUST-004,Mid-Market,Fresh,8,Net-30,False,False,2956.27,1773.76,1189.86,274.04,921.73,12.15,99.59,4271.13,-1314.86,-44.48,144.48,Loss,True,True,True
TXN-2023-000068,CUST-004,Mid-Market,Fresh,8,Net-60,False,False,626.56,375.94,304.05,89.59,0.0,5.15,99.59,874.32,-247.76,-39.54,139.54,Loss,True,True,True
TXN-2023-000069,CUST-004,Mid-Market,Frozen,9,Net-60,False,False,542.91,325.75,124.05,44.54,0.0,4.46,89.59,588.39,-45.48,-8.38,108.38,Loss,True,True,True
TXN-2023-000070,CUST-004,Mid-Market,Fresh,9,Net-60,True,False,619.32,371.59,197.37,0.0,0.0,5.09,99.59,673.64,-54.32,-8.77,108.77,Loss,True,True,True
TXN-2023-000071,CUST-004,Mid-Market,DetergentsPaper,10,Net-90,True,False,814.1,488.46,80.01,0.0,0.0,10.04,84.59,663.1,151.0,18.55,81.45,Highly Profitable,False,False,False
TXN-2023-000072,CUST-004,Mid-Market,Fresh,10,Net-60,True,False,1006.69,604.01,255.52,0.0,0.0,8.27,99.59,967.39,39.3,3.9,96.1,Profitable,False,True,True
TXN-2023-000073,CUST-004,Mid-Market,Fresh,10,Net-90,True,False,358.16,214.9,141.76,0.0,0.0,4.42,99.59,460.67,-102.51,-28.62,128.62,Loss,True,True,True
TXN-2023-000074,CUST-004,Mid-Market,Fresh,10,Net-90,False,False,665.35,399.21,376.74,91.57,0.0,8.2,99.59,975.31,-309.96,-46.59,146.59,Loss,True,True,True
TXN-2023-000075,CUST-004,Mid-Market,Delicatessen,11,Net-60,True,False,846.91,508.15,301.65,0.0,0.0,6.96,97.59,914.35,-67.44,-7.96,107.96,Loss,True,True,True
TXN-2023-000076,CUST-004,Mid-Market,Fresh,11,Net-90,False,False,622.44,373.46,278.36,87.6,0.0,7.67,99.59,846.68,-224.24,-36.03,136.03,Loss,True,True,True
TXN-2023-000077,CUST-004,Mid-Market,Grocery,12,Net-30,False,True,771.92,463.15,178.86,146.63,0.0,3.17,84.59,876.4,-104.48,-13.54,113.54,Loss,True,True,True
TXN-2023-000078,CUST-004,Mid-Market,Fresh,12,Net-30,True,False,1020.95,612.57,284.4,0.0,0.0,4.2,99.59,1000.76,20.19,1.98,98.02,Profitable,False,True,True
TXN-2023-000079,CUST-004,Mid-Market,Fresh,12,Net-60,True,False,429.95,257.97,201.94,0.0,0.0,3.53,99.59,563.03,-133.08,-30.95,130.95,Loss,True,True,True
TXN-2023-000080,CUST-004,Mid-Market,Frozen,12,Net-60,True,False,389.21,233.53,68.89,0.0,0.0,3.2,89.59,395.21,-6.0,-1.54,101.54,Breakeven,True,True,True
TXN-2023-000081,CUST-005,Mid-Market,Milk,1,Net-90,True,False,5021.3,3012.78,768.19,0.0,0.0,61.91,94.59,3937.47,1083.83,21.58,78.42,Highly Profitable,False,False,False
TXN-2023-000082,CUST-005,Mid-Market,Fresh,2,Net-60,True,False,1227.66,736.6,344.63,0.0,0.0,10.09,99.59,1190.91,36.75,2.99,97.01,Profitable,False,True,True
TXN-2023-000083,CUST-005,Mid-Market,Milk,3,Net-60,True,False,4606.69,2764.01,698.74,0.0,0.0,37.86,94.59,3595.2,1011.49,21.96,78.04,Highly Profitable,False,False,False
TXN-2023-000084,CUST-005,Mid-Market,Fresh,4,Net-90,False,False,2761.95,1657.17,1138.64,258.17,0.0,34.05,99.59,3187.62,-425.67,-15.41,115.41,Loss,True,True,True
TXN-2023-000085,CUST-005,Mid-Market,Fresh,5,Net-60,True,False,4560.86,2736.52,1040.22,0.0,0.0,37.49,99.59,3913.82,647.04,14.19,85.81,Highly Profitable,False,False,False
TXN-2023-000086,CUST-005,Mid-Market,Frozen,6,Net-30,True,False,2808.61,1685.17,297.44,0.0,0.0,11.54,89.59,2083.74,724.87,25.81,74.19,Highly Profitable,False,False,False
TXN-2023-000087,CUST-005,Mid-Market,Fresh,7,Net-30,True,False,7670.87,4602.52,1714.35,0.0,0.0,31.52,99.59,6447.98,1222.89,15.94,84.06,Highly Profitable,False,False,False
TXN-2023-000088,CUST-005,Mid-Market,Fresh,8,Net-90,True,False,3314.4,1988.64,769.3,0.0,0.0,40.86,99.59,2898.39,416.01,12.55,87.45,Highly Profitable,False,False,False
TXN-2023-000089,CUST-005,Mid-Market,Fresh,9,Net-60,True,False,2936.2,1761.72,701.1,0.0,0.0,24.13,99.59,2586.54,349.66,11.91,88.09,Highly Profitable,False,False,False
TXN-2023-000090,CUST-005,Mid-Market,Fresh,10,Net-30,True,False,4404.73,2642.84,1006.92,0.0,0.0,18.1,99.59,3767.45,637.28,14.47,85.53,Highly Profitable,False,False,False
TXN-2023-000091,CUST-005,Mid-Market,Grocery,11,Net-30,False,False,1381.12,828.67,235.29,215.49,0.0,5.68,84.59,1369.72,11.4,0.83,99.17,Profitable,False,True,True
TXN-2023-000092,CUST-005,Mid-Market,Milk,12,Net-90,True,False,5405.59,3243.35,800.04,0.0,0.0,66.64,94.59,4204.62,1200.97,22.22,77.78,Highly Profitable,False,False,False
TXN-2023-000093,CUST-006,Mid-Market,Grocery,1,Net-60,True,False,1111.29,666.77,116.43,0.0,0.0,9.13,84.59,876.92,234.37,21.09,78.91,Highly Profitable,False,False,False
TXN-2023-000094,CUST-006,Mid-Market,Delicatessen,1,Net-60,True,False,2021.28,1212.77,587.84,0.0,581.02,16.61,97.59,2495.83,-474.55,-23.48,123.48,Loss,True,True,True
TXN-2023-000095,CUST-006,Mid-Market,Grocery,2,Net-60,True,False,1576.73,946.04,164.59,0.0,0.0,12.96,84.59,1208.18,368.55,23.37,76.63,Highly Profitable,False,False,False
TXN-2023-000096,CUST-006,Mid-Market,Fresh,2,Net-30,True,False,2067.21,1240.33,498.29,0.0,628.27,8.5,99.59,2474.98,-407.77,-19.73,119.73,Loss,True,True,True
TXN-2023-000097,CUST-006,Mid-Market,Fresh,3,Net-60,True,False,472.74,283.64,195.46,0.0,0.0,3.89,99.59,582.58,-109.84,-23.24,123.24,Loss,True,True,True
TXN-2023-000098,CUST-006,Mid-Market,Milk,4,Net-60,True,False,2199.66,1319.8,368.86,0.0,0.0,18.08,94.59,1801.33,398.33,18.11,81.89,Highly Profitable,False,False,False
TXN-2023-000099,CUST-006,Mid-Market,Milk,5,Net-30,True,False,1444.23,866.54,285.92,0.0,0.0,5.94,94.59,1252.99,191.24,13.24,86.76,Highly Profitable,False,False,False
TXN-2023-000100,CUST-006,Mid-Market,DetergentsPaper,6,Net-90,True,False,1962.95,1177.77,130.11,0.0,0.0,24.2,84.59,1416.67,546.28,27.83,72.17,Highly Profitable,False,False,False
TXN-2023-000101,CUST-006,Mid-Market,Grocery,6,Net-60,True,False,641.01,384.61,82.65,0.0,0.0,5.27,84.59,557.12,83.89,13.09,86.91,Highly Profitable,False,False,False
TXN-2023-000102,CUST-006,Mid-Market,DetergentsPaper,7,Net-60,True,False,1709.26,1025.56,98.94,0.0,0.0,14.05,84.59,1223.14,486.12,28.44,71.56,Highly Profitable,False,False,False
TXN-2023-000103,CUST-006,Mid-Market,Grocery,8,Net-90,True,False,1025.85,615.51,110.87,0.0,0.0,12.65,84.59,823.62,202.23,19.71,80.29,Highly Profitable,False,False,False
TXN-2023-000104,CUST-006,Mid-Market,Fresh,9,Net-60,True,False,943.25,565.95,316.49,0.0,0.0,7.75,99.59,989.78,-46.53,-4.93,104.93,Loss,True,True,True
TXN-2023-000105,CUST-006,Mid-Market,Milk,10,Net-30,True,False,1407.14,844.28,257.93,0.0,0.0,5.78,94.59,1202.58,204.56,14.54,85.46,Highly Profitable,False,False,False
TXN-2023-000106,CUST-006,Mid-Market,Fresh,10,Net-60,True,False,2030.96,1218.58,532.27,0.0,0.0,16.69,99.59,1867.13,163.83,8.07,91.93,Highly Profitable,False,False,False
TXN-2023-000107,CUST-006,Mid-Market,Grocery,11,Net-90,True,False,1452.43,871.46,204.15,0.0,0.0,17.91,84.59,1178.11,274.32,18.89,81.11,Highly Profitable,False,False,False
TXN-2023-000108,CUST-006,Mid-Market,Grocery,11,Net-30,True,False,1479.0,887.4,157.51,0.0,0.0,6.08,84.59,1135.58,343.42,23.22,76.78,Highly Profitable,False,False,False
TXN-2023-000109,CUST-006,Mid-Market,Grocery,12,Net-30,True,False,3165.01,1899.01,269.91,0.0,0.0,13.01,84.59,2266.52,898.49,28.39,71.61,Highly Profitable,False,False,False
TXN-2023-000110,CUST-007,Mid-Market,DetergentsPaper,1,Net-60,True,False,1180.47,708.28,88.66,0.0,0.0,9.7,84.59,891.23,289.24,24.5,75.5,Highly Profitable,False,False,False
TXN-2023-000111,CUST-007,Mid-Market,Fresh,1,Net-90,True,False,1902.38,1141.43,450.37,0.0,0.0,23.45,99.59,1714.84,187.54,9.86,90.14,Highly Profitable,False,False,False
TXN-2023-000112,CUST-007,Mid-Market,Fresh,2,Net-30,True,False,966.93,580.16,245.89,0.0,296.34,3.97,99.59,1225.95,-259.02,-26.79,126.79,Loss,True,True,True
TXN-2023-000113,CUST-007,Mid-Market,Fresh,2,Net-60,True,False,1945.61,1167.37,498.74,0.0,0.0,15.99,99.59,1781.69,163.92,8.43,91.57,Highly Profitable,False,False,False
TXN-2023-000114,CUST-007,Mid-Market,Milk,3,Net-30,True,False,1988.85,1193.31,339.77,0.0,0.0,8.17,94.59,1635.84,353.01,17.75,82.25,Highly Profitable,False,False,False
TXN-2023-000115,CUST-007,Mid-Market,Fresh,4,Net-90,True,False,2212.56,1327.54,516.71,0.0,0.0,27.28,99.59,1971.12,241.44,10.91,89.09,Highly Profitable,False,False,False
TXN-2023-000116,CUST-007,Mid-Market,Grocery,4,Net-90,True,True,1465.58,879.35,202.67,0.0,0.0,18.07,84.59,1184.68,280.9,19.17,80.83,Highly Profitable,False,False,False
TXN-2023-000117,CUST-007,Mid-Market,DetergentsPaper,5,Net-60,True,False,1334.37,800.62,82.14,0.0,0.0,10.97,84.59,978.32,356.05,26.68,73.32,Highly Profitable,False,False,False
TXN-2023-000118,CUST-007,Mid-Market,Milk,6,Net-30,True,False,1860.69,1116.41,298.3,0.0,0.0,7.65,94.59,1516.95,343.74,18.47,81.53,Highly Profitable,False,False,False
TXN-2023-000119,CUST-007,Mid-Market,DetergentsPaper,6,Net-90,True,False,1699.52,1019.71,124.54,0.0,0.0,20.95,84.59,1249.79,449.73,26.46,73.54,Highly Profitable,False,False,False
TXN-2023-000120,CUST-007,Mid-Market,Fresh,7,Net-30,True,False,1191.69,715.01,321.87,0.0,364.15,4.9,99.59,1505.52,-313.83,-26.34,126.34,Loss,True,True,True
TXN-2023-000121,CUST-007,Mid-Market,Milk,8,Net-30,True,False,1890.97,1134.58,325.78,0.0,0.0,7.77,94.59,1562.72,328.25,17.36,82.64,Highly Profitable,False,False,False
TXN-2023-000122,CUST-007,Mid-Market,Grocery,9,Net-60,True,False,767.14,460.28,84.34,0.0,248.95,6.31,84.59,884.47,-117.33,-15.29,115.29,Loss,True,True,True
TXN-2023-000123,CUST-007,Mid-Market,DetergentsPaper,9,Net-60,True,False,1294.16,776.5,86.64,0.0,0.0,10.64,84.59,958.37,335.79,25.95,74.05,Highly Profitable,False,False,False
TXN-2023-000124,CUST-007,Mid-Market,Fresh,10,Net-60,True,False,1761.29,1056.77,446.04,0.0,536.11,14.48,99.59,2152.99,-391.7,-22.24,122.24,Loss,True,True,True
TXN-2023-000125,CUST-007,Mid-Market,Fresh,11,Net-90,True,False,825.25,495.15,216.76,0.0,0.0,10.17,99.59,821.67,3.58,0.43,99.57,Profitable,False,True,True
TXN-2023-000126,CUST-007,Mid-Market,Grocery,12,Net-30,True,False,1551.0,930.6,148.31,0.0,0.0,6.37,84.59,1169.87,381.13,24.57,75.43,Highly Profitable,False,False,False
TXN-2023-000127,CUST-007,Mid-Market,Fresh,12,Net-60,False,False,626.53,375.92,304.05,89.59,0.0,5.15,99.59,874.3,-247.77,-39.55,139.55,Loss,True,True,True
TXN-2023-000128,CUST-008,Mid-Market,Grocery,1,Net-30,True,False,2416.21,1449.73,223.71,0.0,0.0,9.93,84.59,1767.96,648.25,26.83,73.17,Highly Profitable,False,False,False
TXN-2023-000129,CUST-008,Mid-Market,Delicatessen,1,Net-30,True,False,2416.21,1449.73,663.28,0.0,0.0,9.93,97.59,2220.53,195.68,8.1,91.9,Highly Profitable,False,False,False
TXN-2023-000130,CUST-008,Mid-Market,Delicatessen,2,Net-30,True,False,2252.96,1351.78,809.37,0.0,0.0,9.26,97.59,2268.0,-15.04,-0.67,100.67,Breakeven,True,True,True
TXN-2023-000131,CUST-008,Mid-Market,Grocery,3,Net-90,True,False,659.54,395.72,77.06,0.0,0.0,8.13,84.59,565.5,94.04,14.26,85.74,Highly Profitable,False,False,False
TXN-2023-000132,CUST-008,Mid-Market,DetergentsPaper,3,Net-60,True,False,2466.25,1479.75,145.9,0.0,0.0,20.27,84.59,1730.51,735.74,29.83,70.17,Highly Profitable,False,False,False
TXN-2023-000133,CUST-008,Mid-Market,Grocery,4,Net-30,True,False,2693.93,1616.36,214.39,0.0,0.0,11.07,84.59,1926.41,767.52,28.49,71.51,Highly Profitable,False,False,False
TXN-2023-000134,CUST-008,Mid-Market,Fresh,4,Net-60,True,False,580.75,348.45,190.32,0.0,171.34,4.77,99.59,814.47,-233.72,-40.24,140.24,Loss,True,True,True
TXN-2023-000135,CUST-008,Mid-Market,DetergentsPaper,5,Net-60,True,False,2523.69,1514.21,148.22,0.0,0.0,20.74,84.59,1767.76,755.93,29.95,70.05,Highly Profitable,False,False,False
TXN-2023-000136,CUST-008,Mid-Market,Delicatessen,6,Net-60,True,False,998.1,598.86,340.05,0.0,0.0,8.2,97.59,1044.7,-46.6,-4.67,104.67,Loss,True,True,True
TXN-2023-000137,CUST-008,Mid-Market,Grocery,7,Net-60,True,False,1161.41,696.85,120.0,0.0,0.0,9.55,84.59,910.99,250.42,21.56,78.44,Highly Profitable,False,False,False
