TransactionID,CustomerID,CustomerSegment,TransactionAmount_EUR,PaymentTerms,DSO_Days,AnnualInterestRate,DailyInterestCost_EUR,DSO_InterestCost_EUR
TXN-2023-000072,CUST-004,Mid-Market,1006.69,Net-60,60,0.05,0.1379,8.27
TXN-2023-000073,CUST-004,Mid-Market,358.16,Net-90,90,0.05,0.0491,4.42
TXN-2023-000074,CUST-004,Mid-Market,665.35,Net-90,90,0.05,0.0911,8.2
TXN-2023-000075,CUST-004,Mid-Market,846.91,Net-60,60,0.05,0.116,6.96
TXN-2023-000076,CUST-004,Mid-Market,622.44,Net-90,90,0.05,0.0853,7.67
TXN-2023-000077,CUST-004,Mid-Market,771.92,Net-30,30,0.05,0.1057,3.17
TXN-2023-000078,CUST-004,Mid-Market,1020.95,Net-30,30,0.05,0.1399,4.2
TXN-2023-000079,CUST-004,Mid-Market,429.95,Net-60,60,0.05,0.0589,3.53
TXN-2023-000080,CUST-004,Mid-Market,389.21,Net-60,60,0.05,0.0533,3.2
TXN-2023-000081,CUST-005,Mid-Market,5021.3,Net-90,90,0.05,0.6878,61.91
TXN-2023-000082,CUST-005,Mid-Market,1227.66,Net-60,60,0.05,0.1682,10.09
TXN-2023-000083,CUST-005,Mid-Market,4606.69,Net-60,60,0.05,0.6311,37.86
TXN-2023-000084,CUST-005,Mid-Market,2761.95,Net-90,90,0.05,0.3783,34.05
TXN-2023-000085,CUST-005,Mid-Market,4560.86,Net-60,60,0.05,0.6248,37.49
TXN-2023-000086,CUST-005,Mid-Market,2808.61,Net-30,30,0.05,0.3847,11.54
TXN-2023-000087,CUST-005,Mid-Market,7670.87,Net-30,30,0.05,1.0508,31.52
TXN-2023-000088,CUST-005,Mid-Market,3314.4,Net-90,90,0.05,0.454,40.86
TXN-2023-000089,CUST-005,Mid-Market,2936.2,Net-60,60,0.05,0.4022,24.13
TXN-2023-000090,CUST-005,Mid-Market,4404.73,Net-30,30,0.05,0.6034,18.1
TXN-2023-000091,CUST-005,Mid-Market,1381.12,Net-30,30,0.05,0.1892,5.68
TXN-2023-000092,CUST-005,Mid-Market,5405.59,Net-90,90,0.05,0.7405,66.64
TXN-2023-000093,CUST-006,Mid-Market,1111.29,Net-60,60,0.05,0.1522,9.13
TXN-2023-000094,CUST-006,Mid-Market,2021.28,Net-60,60,0.05,0.2769,16.61
TXN-2023-000095,CUST-006,Mid-Market,1576.73,Net-60,60,0.05,0.216,12.96
TXN-2023-000096,CUST-006,Mid-Market,2067.21,Net-30,30,0.05,0.2832,8.5
TXN-2023-000097,CUST-006,Mid-Market,472.74,Net-60,60,0.05,0.0648,3.89
TXN-2023-000098,CUST-006,Mid-Market,2199.66,Net-60,60,0.05,0.3013,18.08
TXN-2023-000099,CUST-006,Mid-Market,1444.23,Net-30,30,0.05,0.1978,5.94
TXN-2023-000100,CUST-006,Mid-Market,1962.95,Net-90,90,0.05,0.2689,24.2
TXN-2023-000101,CUST-006,Mid-Market,641.01,Net-60,60,0.05,0.0878,5.27
TXN-2023-000102,CUST-006,Mid-Market,1709.26,Net-60,60,0.05,0.2341,14.05
TXN-2023-000103,CUST-006,Mid-Market,1025.85,Net-90,90,0.05,0.1405,12.65
TXN-2023-000104,CUST-006,Mid-Market,943.25,Net-60,60,0.05,0.1292,7.75
TXN-2023-000105,CUST-006,Mid-Market,1407.14,Net-30,30,0.05,0.1928,5.78
TXN-2023-000106,CUST-006,Mid-Market,2030.96,Net-60,60,0.05,0.2782,16.69
TXN-2023-000107,CUST-006,Mid-Market,1452.43,Net-90,90,0.05,0.199,17.91
TXN-2023-000108,CUST-006,Mid-Market,1479.0,Net-30,30,0.05,0.2026,6.08
TXN-2023-000109,CUST-006,Mid-Market,3165.01,Net-30,30,0.05,0.4336,13.01
TXN-2023-000110,CUST-007,Mid-Market,1180.47,Net-60,60,0.05,0.1617,9.7
TXN-2023-000111,CUST-007,Mid-Market,1902.38,Net-90,90,0.05,0.2606,23.45
TXN-2023-000112,CUST-007,Mid-Market,966.93,Net-30,30,0.05,0.1325,3.97
TXN-2023-000113,CUST-007,Mid-Market,1945.61,Net-60,60,0.05,0.2665,15.99
TXN-2023-000114,CUST-007,Mid-Market,1988.85,Net-30,30,0.05,0.2724,8.17
TXN-2023-000115,CUST-007,Mid-Market,2212.56,Net-90,90,0.05,0.3031,27.28
TXN-2023-000116,CUST-007,Mid-Market,1465.58,Net-90,90,0.05,0.2008,18.07
TXN-2023-000117,CUST-007,Mid-Market,1334.37,Net-60,60,0.05,0.1828,10.97
TXN-2023-000118,CUST-007,Mid-Market,1860.69,Net-30,30,0.05,0.2549,7.65
TXN-2023-000119,CUST-007,Mid-Market,1699.52,Net-90,90,0.05,0.2328,20.95
TXN-2023-000120,CUST-007,Mid-Market,1191.69,Net-30,30,0.05,0.1632,4.9
TXN-2023-000121,CUST-007,Mid-Market,1890.97,Net-30,30,0.05,0.259,7.77
TXN-2023-000122,CUST-007,Mid-Market,767.14,Net-60,60,0.05,0.1051,6.31
TXN-2023-000123,CUST-007,Mid-Market,1294.16,Net-60,60,0.05,0.1773,10.64
TXN-2023-000124,CUST-007,Mid-Market,1761.29,Net-60,60,0.05,0.2413,14.48
TXN-2023-000125,CUST-007,Mid-Market,825.25,Net-90,90,0.05,0.113,10.17
TXN-2023-000126,CUST-007,Mid-Market,1551.0,Net-30,30,0.05,0.2125,6.37
TXN-2023-000127,CUST-007,Mid-Market,626.53,Net-60,60,0.05,0.0858,5.15
TXN-2023-000128,CUST-008,Mid-Market,2416.21,Net-30,30,0.05,0.331,9.93
TXN-2023-000129,CUST-008,Mid-Market,2416.21,Net-30,30,0.05,0.331,9.93
TXN-2023-000130,CUST-008,Mid-Market,2252.96,Net-30,30,0.05,0.3086,9.26
TXN-2023-000131,CUST-008,Mid-Market,659.54,Net-90,90,0.05,0.0903,8.13
TXN-2023-000132,CUST-008,Mid-Market,2466.25,Net-60,60,0.05,0.3378,20.27
TXN-2023-000133,CUST-008,Mid-Market,2693.93,Net-30,30,0.05,0.369,11.07
TXN-2023-000134,CUST-008,Mid-Market,580.75,Net-60,60,0.05,0.0796,4.77
TXN-2023-000135,CUST-008,Mid-Market,2523.69,Net-60,60,0.05,0.3457,20.74
TXN-2023-000136,CUST-008,Mid-Market,998.1,Net-60,60,0.05,0.1367,8.2
TXN-2023-000137,CUST-008,Mid-Market,1161.41,Net-60,60,0.05,0.1591,9.55
TXN-2023-000138,CUST-008,Mid-Market,1767.06,Net-60,60,0.05,0.2421,14.52
TXN-2023-000139,CUST-008,Mid-Market,1168.36,Net-60,60,0.05,0.16,9.6
TXN-2023-000140,CUST-008,Mid-Market,1587.02,Net-90,90,0.05,0.2174,19.57
TXN-2023-000141,CUST-008,Mid-Market,1477.32,Net-30,30,0.05,0.2024,6.07
TXN-2023-000142,CUST-008,Mid-Market,1504.21,Net-90,90,0.05,0.2061,18.55
TXN-2023-000143,CUST-008,Mid-Market,3843.97,Net-60,60,0.05,0.5266,31.59
TXN-2023-000144,CUST-009,SMB,103.35,Net-90,90,0.05,0.0142,1.27
TXN-2023-000145,CUST-009,SMB,625.99,Net-30,30,0.05,0.0858,2.57
TXN-2023-000146,CUST-009,SMB,444.53,Net-60,60,0.05,0.0609,3.65
TXN-2023-000147,CUST-009,SMB,497.13,Net-60,60,0.05,0.0681,4.09
TXN-2023-000148,CUST-009,SMB,309.96,Net-30,30,0.05,0.0425,1.27
TXN-2023-000149,CUST-009,SMB,377.55,Net-30,30,0.05,0.0517,1.55
TXN-2023-000150,CUST-009,SMB,384.93,Net-30,30,0.05,0.0527,1.58
TXN-2023-000151,CUST-009,SMB,407.61,Net-60,60,0.05,0.0558,3.35
TXN-2023-000152,CUST-009,SMB,584.55,Net-30,30,0.05,0.0801,2.4
TXN-2023-000153,CUST-009,SMB,421.68,Net-30,30,0.05,0.0578,1.73
TXN-2023-000154,CUST-009,SMB,421.98,Net-60,60,0.05,0.0578,3.47
TXN-2023-000155,CUST-009,SMB,1243.42,Net-60,60,0.05,0.1703,10.22
TXN-2023-000156,CUST-009,SMB,492.81,Net-30,30,0.05,0.0675,2.03
TXN-2023-000157,CUST-009,SMB,205.92,Net-30,30,0.05,0.0282,0.85
TXN-2023-000158,CUST-009,SMB,534.11,Net-30,30,0.05,0.0732,2.19
TXN-2023-000159,CUST-009,SMB,246.87,Net-30,30,0.05,0.0338,1.01
TXN-2023-000160,CUST-009,SMB,787.65,Net-90,90,0.05,0.1079,9.71
TXN-2023-000161,CUST-009,SMB,855.92,Net-30,30,0.05,0.1172,3.52
TXN-2023-000162,CUST-009,SMB,160.43,Net-30,30,0.05,0.022,0.66
TXN-2023-000163,CUST-009,SMB,453.86,Net-90,90,0.05,0.0622,5.6
TXN-2023-000164,CUST-009,SMB,832.46,Net-30,30,0.05,0.114,3.42
TXN-2023-000165,CUST-009,SMB,696.46,Net-30,30,0.05,0.0954,2.86
TXN-2023-000166,CUST-009,SMB,197.81,Net-30,30,0.05,0.0271,0.81
TXN-2023-000167,CUST-009,SMB,211.74,Net-30,30,0.05,0.029,0.87
TXN-2023-000168,CUST-009,SMB,557.15,Net-90,90,0.05,0.0763,6.87
TXN-2023-000169,CUST-009,SMB,472.56,Net-30,30,0.05,0.0647,1.94
TXN-2023-000170,CUST-009,SMB,411.64,Net-30,30,0.05,0.0564,1.69
TXN-2023-000171,CUST-009,SMB,572.8,Net-90,90,0.05,0.0785,7.06
TXN-2023-000172,CUST-009,SMB,381.51,Net-90,90,0.05,0.0523,4.7
TXN-2023-000173,CUST-009,SMB,321.0,Net-30,30,0.05,0.044,1.32
TXN-2023-000174,CUST-009,SMB,841.14,Net-90,90,0.05,0.1152,10.37
TXN-2023-000175,CUST-009,SMB,1312.3,Net-30,30,0.05,0.1798,5.39
TXN-2023-000176,CUST-009,SMB,346.77,Net-30,30,0.05,0.0475,1.43
TXN-2023-000177,CUST-009,SMB,277.85,Net-30,30,0.05,0.0381,1.14
TXN-2023-000178,CUST-009,SMB,376.04,Net-60,60,0.05,0.0515,3.09
TXN-2023-000179,CUST-009,SMB,479.9,Net-60,60,0.05,0.0657,3.94
TXN-2023-000180,CUST-009,SMB,146.57,Net-30,30,0.05,0.0201,0.6
TXN-2023-000181,CUST-009,SMB,336.97,Net-90,90,0.05,0.0462,4.15
TXN-2023-000182,CUST-009,SMB,361.11,Net-60,60,0.05,0.0495,2.97
TXN-2023-000183,CUST-010,Mid-Market,4843.15,Net-90,90,0.05,0.6634,59.71
TXN-2023-000184,CUST-010,Mid-Market,3541.49,Net-60,60,0.05,0.4851,29.11
TXN-2023-000185,CUST-010,Mid-Market,2534.66,Net-60,60,0.05,0.3472,20.83
TXN-2023-000186,CUST-010,Mid-Market,822.83,Net-60,60,0.05,0.1127,6.76
TXN-2023-000187,CUST-010,Mid-Market,1996.26,Net-60,60,0.05,0.2735,16.41
TXN-2023-000188,CUST-010,Mid-Market,2187.58,Net-90,90,0.05,0.2997,26.97
TXN-2023-000189,CUST-010,Mid-Market,3132.79,Net-90,90,0.05,0.4291,38.62
TXN-2023-000190,CUST-010,Mid-Market,1400.02,Net-30,30,0.05,0.1918,5.75
TXN-2023-000191,CUST-010,Mid-Market,1784.5,Net-30,30,0.05,0.2445,7.33
TXN-2023-000192,CUST-010,Mid-Market,1828.28,Net-60,60,0.05,0.2504,15.03
TXN-2023-000193,CUST-010,Mid-Market,5347.96,Net-60,60,0.05,0.7326,43.96
TXN-2023-000194,CUST-010,Mid-Market,4560.53,Net-90,90,0.05,0.6247,56.23
TXN-2023-000195,CUST-010,Mid-Market,5651.14,Net-30,30,0.05,0.7741,23.22
TXN-2023-000196,CUST-010,Mid-Market,2731.44,Net-60,60,0.05,0.3742,22.45
TXN-2023-000197,CUST-010,Mid-Market,4299.36,Net-30,30,0.05,0.589,17.67
TXN-2023-000198,CUST-011,Mid-Market,2631.1,Net-60,60,0.05,0.3604,21.63
TXN-2023-000199,CUST-011,Mid-Market,913.72,Net-60,60,0.05,0.1252,7.51
TXN-2023-000200,CUST-011,Mid-Market,1735.9,Net-90,90,0.05,0.2378,21.4
TXN-2023-000201,CUST-011,Mid-Market,762.15,Net-60,60,0.05,0.1044,6.26
TXN-2023-000202,CUST-011,Mid-Market,1431.66,Net-60,60,0.05,0.1961,11.77
TXN-2023-000203,CUST-011,Mid-Market,3273.48,Net-90,90,0.05,0.4484,40.36
TXN-2023-000204,CUST-011,Mid-Market,1554.02,Net-60,60,0.05,0.2129,12.77
TXN-2023-000205,CUST-011,Mid-Market,2751.6,Net-30,30,0.05,0.3769,11.31
TXN-2023-000206,CUST-011,Mid-Market,991.76,Net-60,60,0.05,0.1359,8.15
TXN-2023-000207,CUST-011,Mid-Market,1670.95,Net-90,90,0.05,0.2289,20.6
TXN-2023-000208,CUST-011,Mid-Market,1670.45,Net-60,60,0.05,0.2288,13.73
TXN-2023-000209,CUST-011,Mid-Market,3038.19,Net-90,90,0.05,0.4162,37.46
TXN-2023-000210,CUST-011,Mid-Market,3665.53,Net-60,60,0.05,0.5021,30.13
TXN-2023-000211,CUST-011,Mid-Market,2832.97,Net-60,60,0.05,0.3881,23.28
TXN-2023-000212,CUST-011,Mid-Market,3231.26,Net-60,60,0.05,0.4426,26.56
TXN-2023-000213,CUST-011,Mid-Market,1709.27,Net-60,60,0.05,0.2341,14.05
TXN-2023-000214,CUST-012,Mid-Market,1646.45,Net-90,90,0.05,0.2255,20.3
TXN-2023-000215,CUST-012,Mid-Market,1736.94,Net-30,30,0.05,0.2379,7.14
TXN-2023-000216,CUST-012,Mid-Market,1384.4,Net-60,60,0.05,0.1896,11.38
TXN-2023-000217,CUST-012,Mid-Market,602.55,Net-60,60,0.05,0.0825,4.95
TXN-2023-000218,CUST-012,Mid-Market,1483.26,Net-60,60,0.05,0.2032,12.19
TXN-2023-000219,CUST-012,Mid-Market,2026.43,Net-60,60,0.05,0.2776,16.66
TXN-2023-000220,CUST-012,Mid-Market,456.53,Net-90,90,0.05,0.0625,5.63
TXN-2023-000221,CUST-012,Mid-Market,1489.54,Net-90,90,0.05,0.204,18.36
TXN-2023-000222,CUST-012,Mid-Market,2354.52,Net-60,60,0.05,0.3225,19.35
TXN-2023-000223,CUST-012,Mid-Market,2153.45,Net-30,30,0.05,0.295,8.85
TXN-2023-000224,CUST-012,Mid-Market,1257.19,Net-60,60,0.05,0.1722,10.33
TXN-2023-000225,CUST-012,Mid-Market,1200.11,Net-90,90,0.05,0.1644,14.8
TXN-2023-000226,CUST-012,Mid-Market,1656.65,Net-90,90,0.05,0.2269,20.42
TXN-2023-000227,CUST-012,Mid-Market,740.9,Net-90,90,0.05,0.1015,9.13
TXN-2023-000228,CUST-012,Mid-Market,1070.08,Net-30,30,0.05,0.1466,4.4
TXN-2023-000229,CUST-013,Enterprise,6786.7,Net-30,30,0.05,0.9297,27.89
TXN-2023-000230,CUST-013,Enterprise,1747.59,Net-60,60,0.05,0.2394,14.36
TXN-2023-000231,CUST-013,Enterprise,2597.33,Net-30,30,0.05,0.3558,10.67
TXN-2023-000232,CUST-013,Enterprise,3860.25,Net-30,30,0.05,0.5288,15.86
TXN-2023-000233,CUST-013,Enterprise,1937.35,Net-30,30,0.05,0.2654,7.96
TXN-2023-000234,CUST-013,Enterprise,5731.69,Net-60,60,0.05,0.7852,47.11
TXN-2023-000235,CUST-013,Enterprise,2195.39,Net-60,60,0.05,0.3007,18.04
TXN-2023-000236,CUST-013,Enterprise,5476.64,Net-30,30,0.05,0.7502,22.51
TXN-2023-000237,CUST-013,Enterprise,1793.57,Net-90,90,0.05,0.2457,22.11
TXN-2023-000238,CUST-013,Enterprise,1952.64,Net-90,90,0.05,0.2675,24.07
TXN-2023-000239,CUST-013,Enterprise,3332.61,Net-30,30,0.05,0.4565,13.7
TXN-2023-000240,CUST-013,Enterprise,9001.76,Net-30,30,0.05,1.2331,36.99
TXN-2023-000241,CUST-013,Enterprise,5018.68,Net-60,60,0.05,0.6875,41.25
TXN-2023-000242,CUST-013,Enterprise,3943.25,Net-60,60,0.05,0.5402,32.41
TXN-2023-000243,CUST-013,Enterprise,2313.26,Net-60,60,0.05,0.3169,19.01
TXN-2023-000244,CUST-013,Enterprise,5200.27,Net-60,60,0.05,0.7124,42.74
TXN-2023-000245,CUST-014,Enterprise,1165.81,Net-30,30,0.05,0.1597,4.79
TXN-2023-000246,CUST-014,Enterprise,3828.24,Net-30,30,0.05,0.5244,15.73
TXN-2023-000247,CUST-014,Enterprise,1858.05,Net-60,60,0.05,0.2545,15.27
TXN-2023-000248,CUST-014,Enterprise,2005.49,Net-60,60,0.05,0.2747,16.48
TXN-2023-000249,CUST-014,Enterprise,1676.1,Net-60,60,0.05,0.2296,13.78
TXN-2023-000250,CUST-014,Enterprise,1861.02,Net-60,60,0.05,0.2549,15.3
TXN-2023-000251,CUST-014,Enterprise,1707.19,Net-30,30,0.05,0.2339,7.02
TXN-2023-000252,CUST-014,Enterprise,1698.44,Net-30,30,0.05,0.2327,6.98
TXN-2023-000253,CUST-014,Enterprise,3161.72,Net-60,60,0.05,0.4331,25.99
TXN-2023-000254,CUST-014,Enterprise,7388.8,Net-30,30,0.05,1.0122,30.36
TXN-2023-000255,CUST-014,Enterprise,3818.64,Net-60,60,0.05,0.5231,31.39
TXN-2023-000256,CUST-014,Enterprise,3449.18,Net-60,60,0.05,0.4725,28.35
TXN-2023-000257,CUST-014,Enterprise,1243.48,Net-60,60,0.05,0.1703,10.22
TXN-2023-000258,CUST-014,Enterprise,2201.13,Net-30,30,0.05,0.3015,9.05
TXN-2023-000259,CUST-014,Enterprise,931.8,Net-30,30,0.05,0.1276,3.83
TXN-2023-000260,CUST-014,Enterprise,7388.8,Net-90,90,0.05,1.0122,91.09
TXN-2023-000261,CUST-014,Enterprise,3821.62,Net-60,60,0.05,0.5235,31.41
TXN-2023-000262,CUST-014,Enterprise,3605.47,Net-30,30,0.05,0.4939,14.82
TXN-2023-000263,CUST-015,Enterprise,5786.69,Net-30,30,0.05,0.7927,23.78
TXN-2023-000264,CUST-015,Enterprise,1297.84,Net-60,60,0.05,0.1778,10.67
TXN-2023-000265,CUST-015,Enterprise,2914.6,Net-60,60,0.05,0.3993,23.96
TXN-2023-000266,CUST-015,Enterprise,2573.48,Net-60,60,0.05,0.3525,21.15
TXN-2023-000267,CUST-015,Enterprise,4389.27,Net-30,30,0.05,0.6013,18.04
TXN-2023-000268,CUST-015,Enterprise,5659.45,Net-90,90,0.05,0.7753,69.77
TXN-2023-000269,CUST-015,Enterprise,4382.07,Net-30,30,0.05,0.6003,18.01
TXN-2023-000270,CUST-015,Enterprise,4299.11,Net-30,30,0.05,0.5889,17.67
TXN-2023-000271,CUST-015,Enterprise,10912.75,Net-30,30,0.05,1.4949,44.85
TXN-2023-000272,CUST-015,Enterprise,5311.09,Net-60,60,0.05,0.7275,43.65
TXN-2023-000273,CUST-015,Enterprise,1971.27,Net-30,30,0.05,0.27,8.1
TXN-2023-000274,CUST-015,Enterprise,4231.38,Net-30,30,0.05,0.5796,17.39
TXN-2023-000275,CUST-016,SMB,1139.64,Net-30,30,0.05,0.1561,4.68
TXN-2023-000276,CUST-016,SMB,345.71,Net-30,30,0.05,0.0474,1.42
TXN-2023-000277,CUST-016,SMB,427.02,Net-30,30,0.05,0.0585,1.75
TXN-2023-000278,CUST-016,SMB,284.19,Net-30,30,0.05,0.0389,1.17
TXN-2023-000279,CUST-016,SMB,354.79,Net-30,30,0.05,0.0486,1.46
TXN-2023-000280,CUST-016,SMB,423.7,Net-30,30,0.05,0.058,1.74
TXN-2023-000281,CUST-016,SMB,1165.54,Net-90,90,0.05,0.1597,14.37
TXN-2023-000282,CUST-016,SMB,338.39,Net-60,60,0.05,0.0464,2.78
TXN-2023-000283,CUST-016,SMB,591.58,Net-90,90,0.05,0.081,7.29
TXN-2023-000284,CUST-016,SMB,304.3,Net-30,30,0.05,0.0417,1.25
TXN-2023-000285,CUST-016,SMB,266.27,Net-60,60,0.05,0.0365,2.19
TXN-2023-000286,CUST-016,SMB,400.19,Net-30,30,0.05,0.0548,1.64
TXN-2023-000287,CUST-016,SMB,683.63,Net-30,30,0.05,0.0936,2.81
TXN-2023-000288,CUST-016,SMB,612.64,Net-90,90,0.05,0.0839,7.55
TXN-2023-000289,CUST-016,SMB,417.55,Net-30,30,0.05,0.0572,1.72
TXN-2023-000290,CUST-016,SMB,770.39,Net-30,30,0.05,0.1055,3.17
TXN-2023-000291,CUST-016,SMB,323.02,Net-30,30,0.05,0.0442,1.33
TXN-2023-000292,CUST-016,SMB,257.39,Net-30,30,0.05,0.0353,1.06
TXN-2023-000293,CUST-016,SMB,291.33,Net-30,30,0.05,0.0399,1.2
TXN-2023-000294,CUST-016,SMB,208.08,Net-30,30,0.05,0.0285,0.86
TXN-2023-000295,CUST-016,SMB,590.03,Net-60,60,0.05,0.0808,4.85
