TransactionID,CustomerID,CustomerSegment,ProductCategory,TransactionAmount_EUR,BaseOverhead_EUR,SegmentMultiplier,SegmentAdjustedOverhead_EUR,ProductAdjustment_EUR,TotalAllocatedOverhead_EUR,OverheadAsPercentOfRevenue
TXN-2023-000047,CUST-004,Mid-Market,Fresh,1746.71,81.45,1.1,89.59,10.0,99.59,5.7
TXN-2023-000048,CUST-004,Mid-Market,Frozen,672.9,81.45,1.1,89.59,0.0,89.59,13.31
TXN-2023-000049,CUST-004,Mid-Market,Delicatessen,309.44,81.45,1.1,89.59,8.0,97.59,31.54
TXN-2023-000050,CUST-004,Mid-Market,Fresh,1510.24,81.45,1.1,89.59,10.0,99.59,6.59
TXN-2023-000051,CUST-004,Mid-Market,Milk,1131.87,81.45,1.1,89.59,5.0,94.59,8.36
TXN-2023-000052,CUST-004,Mid-Market,Delicatessen,421.72,81.45,1.1,89.59,8.0,97.59,23.14
TXN-2023-000053,CUST-004,Mid-Market,Grocery,427.59,81.45,1.1,89.59,-5.0,84.59,19.78
TXN-2023-000054,CUST-004,Mid-Market,Frozen,526.61,81.45,1.1,89.59,0.0,89.59,17.01
TXN-2023-000055,CUST-004,Mid-Market,Grocery,533.51,81.45,1.1,89.59,-5.0,84.59,15.86
TXN-2023-000056,CUST-004,Mid-Market,Fresh,1531.76,81.45,1.1,89.59,10.0,99.59,6.5
TXN-2023-000057,CUST-004,Mid-Market,Frozen,594.93,81.45,1.1,89.59,0.0,89.59,15.06
TXN-2023-000058,CUST-004,Mid-Market,Fresh,376.86,81.45,1.1,89.59,10.0,99.59,26.43
TXN-2023-000059,CUST-004,Mid-Market,Grocery,472.27,81.45,1.1,89.59,-5.0,84.59,17.91
TXN-2023-000060,CUST-004,Mid-Market,Frozen,210.88,81.45,1.1,89.59,0.0,89.59,42.48
TXN-2023-000061,CUST-004,Mid-Market,Fresh,486.94,81.45,1.1,89.59,10.0,99.59,20.45
TXN-2023-000062,CUST-004,Mid-Market,Frozen,644.05,81.45,1.1,89.59,0.0,89.59,13.91
TXN-2023-000063,CUST-004,Mid-Market,Frozen,482.1,81.45,1.1,89.59,0.0,89.59,18.58
TXN-2023-000064,CUST-004,Mid-Market,Frozen,641.33,81.45,1.1,89.59,0.0,89.59,13.97
TXN-2023-000065,CUST-004,Mid-Market,Fresh,1234.97,81.45,1.1,89.59,10.0,99.59,8.06
TXN-2023-000066,CUST-004,Mid-Market,Grocery,293.02,81.45,1.1,89.59,-5.0,84.59,28.87
TXN-2023-000067,CUST-004,Mid-Market,Fresh,2956.27,81.45,1.1,89.59,10.0,99.59,3.37
TXN-2023-000068,CUST-004,Mid-Market,Fresh,626.56,81.45,1.1,89.59,10.0,99.59,15.89
TXN-2023-000069,CUST-004,Mid-Market,Frozen,542.91,81.45,1.1,89.59,0.0,89.59,16.5
TXN-2023-000070,CUST-004,Mid-Market,Fresh,619.32,81.45,1.1,89.59,10.0,99.59,16.08
TXN-2023-000071,CUST-004,Mid-Market,DetergentsPaper,814.1,81.45,1.1,89.59,-5.0,84.59,10.39
TXN-2023-000072,CUST-004,Mid-Market,Fresh,1006.69,81.45,1.1,89.59,10.0,99.59,9.89
TXN-2023-000073,CUST-004,Mid-Market,Fresh,358.16,81.45,1.1,89.59,10.0,99.59,27.81
TXN-2023-000074,CUST-004,Mid-Market,Fresh,665.35,81.45,1.1,89.59,10.0,99.59,14.97
TXN-2023-000075,CUST-004,Mid-Market,Delicatessen,846.91,81.45,1.1,89.59,8.0,97.59,11.52
TXN-2023-000076,CUST-004,Mid-Market,Fresh,622.44,81.45,1.1,89.59,10.0,99.59,16.0
TXN-2023-000077,CUST-004,Mid-Market,Grocery,771.92,81.45,1.1,89.59,-5.0,84.59,10.96
TXN-2023-000078,CUST-004,Mid-Market,Fresh,1020.95,81.45,1.1,89.59,10.0,99.59,9.75
TXN-2023-000079,CUST-004,Mid-Market,Fresh,429.95,81.45,1.1,89.59,10.0,99.59,23.16
TXN-2023-000080,CUST-004,Mid-Market,Frozen,389.21,81.45,1.1,89.59,0.0,89.59,23.02
TXN-2023-000081,CUST-005,Mid-Market,Milk,5021.3,81.45,1.1,89.59,5.0,94.59,1.88
TXN-2023-000082,CUST-005,Mid-Market,Fresh,1227.66,81.45,1.1,89.59,10.0,99.59,8.11
TXN-2023-000083,CUST-005,Mid-Market,Milk,4606.69,81.45,1.1,89.59,5.0,94.59,2.05
TXN-2023-000084,CUST-005,Mid-Market,Fresh,2761.95,81.45,1.1,89.59,10.0,99.59,3.61
TXN-2023-000085,CUST-005,Mid-Market,Fresh,4560.86,81.45,1.1,89.59,10.0,99.59,2.18
TXN-2023-000086,CUST-005,Mid-Market,Frozen,2808.61,81.45,1.1,89.59,0.0,89.59,3.19
TXN-2023-000087,CUST-005,Mid-Market,Fresh,7670.87,81.45,1.1,89.59,10.0,99.59,1.3
TXN-2023-000088,CUST-005,Mid-Market,Fresh,3314.4,81.45,1.1,89.59,10.0,99.59,3.0
TXN-2023-000089,CUST-005,Mid-Market,Fresh,2936.2,81.45,1.1,89.59,10.0,99.59,3.39
TXN-2023-000090,CUST-005,Mid-Market,Fresh,4404.73,81.45,1.1,89.59,10.0,99.59,2.26
TXN-2023-000091,CUST-005,Mid-Market,Grocery,1381.12,81.45,1.1,89.59,-5.0,84.59,6.12
TXN-2023-000092,CUST-005,Mid-Market,Milk,5405.59,81.45,1.1,89.59,5.0,94.59,1.75
TXN-2023-000093,CUST-006,Mid-Market,Grocery,1111.29,81.45,1.1,89.59,-5.0,84.59,7.61
TXN-2023-000094,CUST-006,Mid-Market,Delicatessen,2021.28,81.45,1.1,89.59,8.0,97.59,4.83
TXN-2023-000095,CUST-006,Mid-Market,Grocery,1576.73,81.45,1.1,89.59,-5.0,84.59,5.36
TXN-2023-000096,CUST-006,Mid-Market,Fresh,2067.21,81.45,1.1,89.59,10.0,99.59,4.82
TXN-2023-000097,CUST-006,Mid-Market,Fresh,472.74,81.45,1.1,89.59,10.0,99.59,21.07
TXN-2023-000098,CUST-006,Mid-Market,Milk,2199.66,81.45,1.1,89.59,5.0,94.59,4.3
TXN-2023-000099,CUST-006,Mid-Market,Milk,1444.23,81.45,1.1,89.59,5.0,94.59,6.55
TXN-2023-000100,CUST-006,Mid-Market,DetergentsPaper,1962.95,81.45,1.1,89.59,-5.0,84.59,4.31
TXN-2023-000101,CUST-006,Mid-Market,Grocery,641.01,81.45,1.1,89.59,-5.0,84.59,13.2
TXN-2023-000102,CUST-006,Mid-Market,DetergentsPaper,1709.26,81.45,1.1,89.59,-5.0,84.59,4.95
TXN-2023-000103,CUST-006,Mid-Market,Grocery,1025.85,81.45,1.1,89.59,-5.0,84.59,8.25
TXN-2023-000104,CUST-006,Mid-Market,Fresh,943.25,81.45,1.1,89.59,10.0,99.59,10.56
TXN-2023-000105,CUST-006,Mid-Market,Milk,1407.14,81.45,1.1,89.59,5.0,94.59,6.72
TXN-2023-000106,CUST-006,Mid-Market,Fresh,2030.96,81.45,1.1,89.59,10.0,99.59,4.9
TXN-2023-000107,CUST-006,Mid-Market,Grocery,1452.43,81.45,1.1,89.59,-5.0,84.59,5.82
TXN-2023-000108,CUST-006,Mid-Market,Grocery,1479.0,81.45,1.1,89.59,-5.0,84.59,5.72
TXN-2023-000109,CUST-006,Mid-Market,Grocery,3165.01,81.45,1.1,89.59,-5.0,84.59,2.67
TXN-2023-000110,CUST-007,Mid-Market,DetergentsPaper,1180.47,81.45,1.1,89.59,-5.0,84.59,7.17
TXN-2023-000111,CUST-007,Mid-Market,Fresh,1902.38,81.45,1.1,89.59,10.0,99.59,5.24
TXN-2023-000112,CUST-007,Mid-Market,Fresh,966.93,81.45,1.1,89.59,10.0,99.59,10.3
TXN-2023-000113,CUST-007,Mid-Market,Fresh,1945.61,81.45,1.1,89.59,10.0,99.59,5.12
TXN-2023-000114,CUST-007,Mid-Market,Milk,1988.85,81.45,1.1,89.59,5.0,94.59,4.76
TXN-2023-000115,CUST-007,Mid-Market,Fresh,2212.56,81.45,1.1,89.59,10.0,99.59,4.5
TXN-2023-000116,CUST-007,Mid-Market,Grocery,1465.58,81.45,1.1,89.59,-5.0,84.59,5.77
TXN-2023-000117,CUST-007,Mid-Market,DetergentsPaper,1334.37,81.45,1.1,89.59,-5.0,84.59,6.34
TXN-2023-000118,CUST-007,Mid-Market,Milk,1860.69,81.45,1.1,89.59,5.0,94.59,5.08
TXN-2023-000119,CUST-007,Mid-Market,DetergentsPaper,1699.52,81.45,1.1,89.59,-5.0,84.59,4.98
TXN-2023-000120,CUST-007,Mid-Market,Fresh,1191.69,81.45,1.1,89.59,10.0,99.59,8.36
TXN-2023-000121,CUST-007,Mid-Market,Milk,1890.97,81.45,1.1,89.59,5.0,94.59,5.0
TXN-2023-000122,CUST-007,Mid-Market,Grocery,767.14,81.45,1.1,89.59,-5.0,84.59,11.03
TXN-2023-000123,CUST-007,Mid-Market,DetergentsPaper,1294.16,81.45,1.1,89.59,-5.0,84.59,6.54
TXN-2023-000124,CUST-007,Mid-Market,Fresh,1761.29,81.45,1.1,89.59,10.0,99.59,5.65
TXN-2023-000125,CUST-007,Mid-Market,Fresh,825.25,81.45,1.1,89.59,10.0,99.59,12.07
TXN-2023-000126,CUST-007,Mid-Market,Grocery,1551.0,81.45,1.1,89.59,-5.0,84.59,5.45
TXN-2023-000127,CUST-007,Mid-Market,Fresh,626.53,81.45,1.1,89.59,10.0,99.59,15.9
TXN-2023-000128,CUST-008,Mid-Market,Grocery,2416.21,81.45,1.1,89.59,-5.0,84.59,3.5
TXN-2023-000129,CUST-008,Mid-Market,Delicatessen,2416.21,81.45,1.1,89.59,8.0,97.59,4.04
TXN-2023-000130,CUST-008,Mid-Market,Delicatessen,2252.96,81.45,1.1,89.59,8.0,97.59,4.33
TXN-2023-000131,CUST-008,Mid-Market,Grocery,659.54,81.45,1.1,89.59,-5.0,84.59,12.83
TXN-2023-000132,CUST-008,Mid-Market,DetergentsPaper,2466.25,81.45,1.1,89.59,-5.0,84.59,3.43
TXN-2023-000133,CUST-008,Mid-Market,Grocery,2693.93,81.45,1.1,89.59,-5.0,84.59,3.14
TXN-2023-000134,CUST-008,Mid-Market,Fresh,580.75,81.45,1.1,89.59,10.0,99.59,17.15
TXN-2023-000135,CUST-008,Mid-Market,DetergentsPaper,2523.69,81.45,1.1,89.59,-5.0,84.59,3.35
TXN-2023-000136,CUST-008,Mid-Market,Delicatessen,998.1,81.45,1.1,89.59,8.0,97.59,9.78
TXN-2023-000137,CUST-008,Mid-Market,Grocery,1161.41,81.45,1.1,89.59,-5.0,84.59,7.28
TXN-2023-000138,CUST-008,Mid-Market,Frozen,1767.06,81.45,1.1,89.59,0.0,89.59,5.07
TXN-2023-000139,CUST-008,Mid-Market,Grocery,1168.36,81.45,1.1,89.59,-5.0,84.59,7.24
TXN-2023-000140,CUST-008,Mid-Market,Delicatessen,1587.02,81.45,1.1,89.59,8.0,97.59,6.15
TXN-2023-000141,CUST-008,Mid-Market,Fresh,1477.32,81.45,1.1,89.59,10.0,99.59,6.74
TXN-2023-000142,CUST-008,Mid-Market,DetergentsPaper,1504.21,81.45,1.1,89.59,-5.0,84.59,5.62
TXN-2023-000143,CUST-008,Mid-Market,Fresh,3843.97,81.45,1.1,89.59,10.0,99.59,2.59
TXN-2023-000144,CUST-009,SMB,Fresh,103.35,81.45,0.85,69.23,10.0,79.23,76.66
TXN-2023-000145,CUST-009,SMB,DetergentsPaper,625.99,81.45,0.85,69.23,-5.0,64.23,10.26
TXN-2023-000146,CUST-009,SMB,DetergentsPaper,444.53,81.45,0.85,69.23,-5.0,64.23,14.45
TXN-2023-000147,CUST-009,SMB,Grocery,497.13,81.45,0.85,69.23,-5.0,64.23,12.92
TXN-2023-000148,CUST-009,SMB,DetergentsPaper,309.96,81.45,0.85,69.23,-5.0,64.23,20.72
TXN-2023-000149,CUST-009,SMB,Fresh,377.55,81.45,0.85,69.23,10.0,79.23,20.99
TXN-2023-000150,CUST-009,SMB,Delicatessen,384.93,81.45,0.85,69.23,8.0,77.23,20.06
TXN-2023-000151,CUST-009,SMB,Milk,407.61,81.45,0.85,69.23,5.0,74.23,18.21
TXN-2023-000152,CUST-009,SMB,Fresh,584.55,81.45,0.85,69.23,10.0,79.23,13.55
TXN-2023-000153,CUST-009,SMB,Milk,421.68,81.45,0.85,69.23,5.0,74.23,17.6
TXN-2023-000154,CUST-009,SMB,Frozen,421.98,81.45,0.85,69.23,0.0,69.23,16.41
TXN-2023-000155,CUST-009,SMB,Milk,1243.42,81.45,0.85,69.23,5.0,74.23,5.97
TXN-2023-000156,CUST-009,SMB,Fresh,492.81,81.45,0.85,69.23,10.0,79.23,16.08
TXN-2023-000157,CUST-009,SMB,Grocery,205.92,81.45,0.85,69.23,-5.0,64.23,31.19
TXN-2023-000158,CUST-009,SMB,Grocery,534.11,81.45,0.85,69.23,-5.0,64.23,12.03
TXN-2023-000159,CUST-009,SMB,Fresh,246.87,81.45,0.85,69.23,10.0,79.23,32.09
TXN-2023-000160,CUST-009,SMB,DetergentsPaper,787.65,81.45,0.85,69.23,-5.0,64.23,8.15
TXN-2023-000161,CUST-009,SMB,Grocery,855.92,81.45,0.85,69.23,-5.0,64.23,7.5
TXN-2023-000162,CUST-009,SMB,Grocery,160.43,81.45,0.85,69.23,-5.0,64.23,40.04
TXN-2023-000163,CUST-009,SMB,Grocery,453.86,81.45,0.85,69.23,-5.0,64.23,14.15
TXN-2023-000164,CUST-009,SMB,Fresh,832.46,81.45,0.85,69.23,10.0,79.23,9.52
TXN-2023-000165,CUST-009,SMB,DetergentsPaper,696.46,81.45,0.85,69.23,-5.0,64.23,9.22
TXN-2023-000166,CUST-009,SMB,Fresh,197.81,81.45,0.85,69.23,10.0,79.23,40.05
TXN-2023-000167,CUST-009,SMB,Grocery,211.74,81.45,0.85,69.23,-5.0,64.23,30.33
TXN-2023-000168,CUST-009,SMB,Grocery,557.15,81.45,0.85,69.23,-5.0,64.23,11.53
TXN-2023-000169,CUST-009,SMB,Milk,472.56,81.45,0.85,69.23,5.0,74.23,15.71
TXN-2023-000170,CUST-009,SMB,Delicatessen,411.64,81.45,0.85,69.23,8.0,77.23,18.76
TXN-2023-000171,CUST-009,SMB,Fresh,572.8,81.45,0.85,69.23,10.0,79.23,13.83
TXN-2023-000172,CUST-009,SMB,DetergentsPaper,381.51,81.45,0.85,69.23,-5.0,64.23,16.84
TXN-2023-000173,CUST-009,SMB,Grocery,321.0,81.45,0.85,69.23,-5.0,64.23,20.01
TXN-2023-000174,CUST-009,SMB,Grocery,841.14,81.45,0.85,69.23,-5.0,64.23,7.64
TXN-2023-000175,CUST-009,SMB,Grocery,1312.3,81.45,0.85,69.23,-5.0,64.23,4.89
TXN-2023-000176,CUST-009,SMB,Fresh,346.77,81.45,0.85,69.23,10.0,79.23,22.85
TXN-2023-000177,CUST-009,SMB,Fresh,277.85,81.45,0.85,69.23,10.0,79.23,28.52
TXN-2023-000178,CUST-009,SMB,Grocery,376.04,81.45,0.85,69.23,-5.0,64.23,17.08
TXN-2023-000179,CUST-009,SMB,Fresh,479.9,81.45,0.85,69.23,10.0,79.23,16.51
TXN-2023-000180,CUST-009,SMB,Fresh,146.57,81.45,0.85,69.23,10.0,79.23,54.06
TXN-2023-000181,CUST-009,SMB,Fresh,336.97,81.45,0.85,69.23,10.0,79.23,23.51
TXN-2023-000182,CUST-009,SMB,Milk,361.11,81.45,0.85,69.23,5.0,74.23,20.56
TXN-2023-000183,CUST-010,Mid-Market,DetergentsPaper,4843.15,81.45,1.1,89.59,-5.0,84.59,1.75
TXN-2023-000184,CUST-010,Mid-Market,Grocery,3541.49,81.45,1.1,89.59,-5.0,84.59,2.39
TXN-2023-000185,CUST-010,Mid-Market,Milk,2534.66,81.45,1.1,89.59,5.0,94.59,3.73
TXN-2023-000186,CUST-010,Mid-Market,Milk,822.83,81.45,1.1,89.59,5.0,94.59,11.5
TXN-2023-000187,CUST-010,Mid-Market,Fresh,1996.26,81.45,1.1,89.59,10.0,99.59,4.99
TXN-2023-000188,CUST-010,Mid-Market,Fresh,2187.58,81.45,1.1,89.59,10.0,99.59,4.55
TXN-2023-000189,CUST-010,Mid-Market,DetergentsPaper,3132.79,81.45,1.1,89.59,-5.0,84.59,2.7
TXN-2023-000190,CUST-010,Mid-Market,Grocery,1400.02,81.45,1.1,89.59,-5.0,84.59,6.04
TXN-2023-000191,CUST-010,Mid-Market,Grocery,1784.5,81.45,1.1,89.59,-5.0,84.59,4.74
TXN-2023-000192,CUST-010,Mid-Market,Grocery,1828.28,81.45,1.1,89.59,-5.0,84.59,4.63
TXN-2023-000193,CUST-010,Mid-Market,Milk,5347.96,81.45,1.1,89.59,5.0,94.59,1.77
TXN-2023-000194,CUST-010,Mid-Market,Frozen,4560.53,81.45,1.1,89.59,0.0,89.59,1.96
TXN-2023-000195,CUST-010,Mid-Market,Grocery,5651.14,81.45,1.1,89.59,-5.0,84.59,1.5
TXN-2023-000196,CUST-010,Mid-Market,Grocery,2731.44,81.45,1.1,89.59,-5.0,84.59,3.1
TXN-2023-000197,CUST-010,Mid-Market,Delicatessen,4299.36,81.45,1.1,89.59,8.0,97.59,2.27
TXN-2023-000198,CUST-011,Mid-Market,Grocery,2631.1,81.45,1.1,89.59,-5.0,84.59,3.22
TXN-2023-000199,CUST-011,Mid-Market,Milk,913.72,81.45,1.1,89.59,5.0,94.59,10.35
TXN-2023-000200,CUST-011,Mid-Market,Frozen,1735.9,81.45,1.1,89.59,0.0,89.59,5.16
TXN-2023-000201,CUST-011,Mid-Market,Grocery,762.15,81.45,1.1,89.59,-5.0,84.59,11.1
TXN-2023-000202,CUST-011,Mid-Market,Grocery,1431.66,81.45,1.1,89.59,-5.0,84.59,5.91
TXN-2023-000203,CUST-011,Mid-Market,Milk,3273.48,81.45,1.1,89.59,5.0,94.59,2.89
TXN-2023-000204,CUST-011,Mid-Market,DetergentsPaper,1554.02,81.45,1.1,89.59,-5.0,84.59,5.44
TXN-2023-000205,CUST-011,Mid-Market,Milk,2751.6,81.45,1.1,89.59,5.0,94.59,3.44
TXN-2023-000206,CUST-011,Mid-Market,DetergentsPaper,991.76,81.45,1.1,89.59,-5.0,84.59,8.53
TXN-2023-000207,CUST-011,Mid-Market,Frozen,1670.95,81.45,1.1,89.59,0.0,89.59,5.36
TXN-2023-000208,CUST-011,Mid-Market,Grocery,1670.45,81.45,1.1,89.59,-5.0,84.59,5.06
TXN-2023-000209,CUST-011,Mid-Market,Grocery,3038.19,81.45,1.1,89.59,-5.0,84.59,2.78
TXN-2023-000210,CUST-011,Mid-Market,Grocery,3665.53,81.45,1.1,89.59,-5.0,84.59,2.31
TXN-2023-000211,CUST-011,Mid-Market,Grocery,2832.97,81.45,1.1,89.59,-5.0,84.59,2.99
TXN-2023-000212,CUST-011,Mid-Market,Frozen,3231.26,81.45,1.1,89.59,0.0,89.59,2.77
TXN-2023-000213,CUST-011,Mid-Market,Milk,1709.27,81.45,1.1,89.59,5.0,94.59,5.53
TXN-2023-000214,CUST-012,Mid-Market,Fresh,1646.45,81.45,1.1,89.59,10.0,99.59,6.05
TXN-2023-000215,CUST-012,Mid-Market,Fresh,1736.94,81.45,1.1,89.59,10.0,99.59,5.73
TXN-2023-000216,CUST-012,Mid-Market,Grocery,1384.4,81.45,1.1,89.59,-5.0,84.59,6.11
TXN-2023-000217,CUST-012,Mid-Market,Fresh,602.55,81.45,1.1,89.59,10.0,99.59,16.53
TXN-2023-000218,CUST-012,Mid-Market,Fresh,1483.26,81.45,1.1,89.59,10.0,99.59,6.71
TXN-2023-000219,CUST-012,Mid-Market,Fresh,2026.43,81.45,1.1,89.59,10.0,99.59,4.91
TXN-2023-000220,CUST-012,Mid-Market,Fresh,456.53,81.45,1.1,89.59,10.0,99.59,21.81
TXN-2023-000221,CUST-012,Mid-Market,Fresh,1489.54,81.45,1.1,89.59,10.0,99.59,6.69
TXN-2023-000222,CUST-012,Mid-Market,Grocery,2354.52,81.45,1.1,89.59,-5.0,84.59,3.59
TXN-2023-000223,CUST-012,Mid-Market,Fresh,2153.45,81.45,1.1,89.59,10.0,99.59,4.62
TXN-2023-000224,CUST-012,Mid-Market,Fresh,1257.19,81.45,1.1,89.59,10.0,99.59,7.92
TXN-2023-000225,CUST-012,Mid-Market,Milk,1200.11,81.45,1.1,89.59,5.0,94.59,7.88
TXN-2023-000226,CUST-012,Mid-Market,Grocery,1656.65,81.45,1.1,89.59,-5.0,84.59,5.11
TXN-2023-000227,CUST-012,Mid-Market,Fresh,740.9,81.45,1.1,89.59,10.0,99.59,13.44
TXN-2023-000228,CUST-012,Mid-Market,Fresh,1070.08,81.45,1.1,89.59,10.0,99.59,9.31
TXN-2023-000229,CUST-013,Enterprise,Grocery,6786.7,81.45,1.4,114.03,-5.0,109.03,1.61
TXN-2023-000230,CUST-013,Enterprise,Fresh,1747.59,81.45,1.4,114.03,10.0,124.03,7.1
TXN-2023-000231,CUST-013,Enterprise,Milk,2597.33,81.45,1.4,114.03,5.0,119.03,4.58
TXN-2023-000232,CUST-013,Enterprise,Grocery,3860.25,81.45,1.4,114.03,-5.0,109.03,2.82
TXN-2023-000233,CUST-013,Enterprise,Fresh,1937.35,81.45,1.4,114.03,10.0,124.03,6.4
TXN-2023-000234,CUST-013,Enterprise,Milk,5731.69,81.45,1.4,114.03,5.0,119.03,2.08
TXN-2023-000235,CUST-013,Enterprise,Milk,2195.39,81.45,1.4,114.03,5.0,119.03,5.42
TXN-2023-000236,CUST-013,Enterprise,Fresh,5476.64,81.45,1.4,114.03,10.0,124.03,2.26
TXN-2023-000237,CUST-013,Enterprise,Milk,1793.57,81.45,1.4,114.03,5.0,119.03,6.64
TXN-2023-000238,CUST-013,Enterprise,Fresh,1952.64,81.45,1.4,114.03,10.0,124.03,6.35
TXN-2023-000239,CUST-013,Enterprise,Grocery,3332.61,81.45,1.4,114.03,-5.0,109.03,3.27
TXN-2023-000240,CUST-013,Enterprise,Milk,9001.76,81.45,1.4,114.03,5.0,119.03,1.32
TXN-2023-000241,CUST-013,Enterprise,Fresh,5018.68,81.45,1.4,114.03,10.0,124.03,2.47
TXN-2023-000242,CUST-013,Enterprise,Grocery,3943.25,81.45,1.4,114.03,-5.0,109.03,2.76
