TransactionID,CustomerID,TransactionDate,OrderMonth,OrderDayOfWeek,ProductCategory,TransactionAmount,Quantity,NumberOfLineItems,IsStandardOrder,IsUrgent,CustomerServiceInteractionRequired,OrderIntensityLevel,ServiceCostMultiplier
TXN-2023-000018,CUST-002,2023-02-02,2,Thursday,Milk,3629.81,145,5,True,False,False,Low,1.0
TXN-2023-000019,CUST-002,2023-02-21,2,Tuesday,Milk,2136.44,85,4,True,False,False,Low,1.0
TXN-2023-000020,CUST-002,2023-03-06,3,Monday,Milk,3491.56,139,4,True,False,False,Low,1.0
TXN-2023-000021,CUST-002,2023-04-16,4,Sunday,Frozen,2049.78,81,4,True,False,False,Low,1.0
TXN-2023-000022,CUST-002,2023-05-28,5,Sunday,Grocery,1199.65,47,3,True,False,False,Low,1.0
TXN-2023-000023,CUST-002,2023-06-07,6,Wednesday,Fresh,1613.87,64,1,True,False,False,Low,1.0
TXN-2023-000024,CUST-002,2023-07-11,7,Tuesday,Milk,1935.69,77,1,True,False,False,Low,1.0
TXN-2023-000025,CUST-002,2023-07-07,7,Friday,Grocery,1228.88,49,2,True,False,False,Low,1.0
TXN-2023-000026,CUST-002,2023-08-01,8,Tuesday,Fresh,2020.74,80,4,True,False,False,Low,1.0
TXN-2023-000027,CUST-002,2023-08-09,8,Wednesday,Milk,1584.54,63,3,True,False,False,Low,1.0
TXN-2023-000028,CUST-002,2023-09-20,9,Wednesday,Fresh,1657.17,66,4,True,False,True,Medium,1.2
TXN-2023-000029,CUST-002,2023-09-25,9,Monday,Grocery,2776.68,111,5,True,False,False,Low,1.0
TXN-2023-000030,CUST-002,2023-10-03,10,Tuesday,Grocery,907.22,36,1,True,True,False,Medium,1.3
TXN-2023-000031,CUST-002,2023-11-16,11,Thursday,Grocery,2474.52,98,3,True,False,False,Low,1.0
TXN-2023-000032,CUST-002,2023-12-19,12,Tuesday,Grocery,2459.85,98,5,True,False,False,Low,1.0
TXN-2023-000033,CUST-003,2023-01-22,1,Sunday,DetergentsPaper,7355.12,294,2,True,False,False,Low,1.0
TXN-2023-000034,CUST-003,2023-02-27,2,Monday,Milk,3588.89,143,2,True,False,False,Low,1.0
TXN-2023-000035,CUST-003,2023-03-16,3,Thursday,Grocery,3416.48,136,2,True,False,False,Low,1.0
TXN-2023-000036,CUST-003,2023-04-13,4,Thursday,Fresh,1561.35,62,1,True,False,True,Medium,1.2
TXN-2023-000037,CUST-003,2023-05-14,5,Sunday,Delicatessen,1404.01,56,4,True,True,False,Medium,1.3
TXN-2023-000038,CUST-003,2023-06-23,6,Friday,Frozen,3032.51,121,3,True,False,False,Low,1.0
TXN-2023-000039,CUST-003,2023-07-26,7,Wednesday,Delicatessen,4636.8,185,1,False,False,False,Medium,1.5
TXN-2023-000040,CUST-003,2023-08-28,8,Monday,Milk,1295.43,51,5,True,False,False,Low,1.0
TXN-2023-000041,CUST-003,2023-09-06,9,Wednesday,Fresh,2130.17,85,4,True,False,False,Low,1.0
TXN-2023-000042,CUST-003,2023-10-16,10,Monday,Delicatessen,2540.88,101,4,True,False,False,Low,1.0
TXN-2023-000043,CUST-003,2023-11-19,11,Sunday,Grocery,3811.44,152,2,False,False,False,Medium,1.5
TXN-2023-000044,CUST-003,2023-12-09,12,Saturday,Frozen,1836.92,73,1,True,False,False,Low,1.0
TXN-2023-000045,CUST-004,2023-01-12,1,Thursday,Fresh,658.59,26,2,False,False,False,Medium,1.5
TXN-2023-000046,CUST-004,2023-01-26,1,Thursday,Fresh,802.01,32,2,True,False,False,Low,1.0
TXN-2023-000047,CUST-004,2023-01-07,1,Saturday,Fresh,1746.71,69,5,False,False,True,High,1.8
TXN-2023-000048,CUST-004,2023-02-25,2,Saturday,Frozen,672.9,26,1,True,False,False,Low,1.0
TXN-2023-000049,CUST-004,2023-02-03,2,Friday,Delicatessen,309.44,12,4,False,False,False,Medium,1.5
TXN-2023-000050,CUST-004,2023-03-05,3,Sunday,Fresh,1510.24,60,5,True,False,False,Low,1.0
TXN-2023-000051,CUST-004,2023-03-17,3,Friday,Milk,1131.87,45,1,False,False,False,Medium,1.5
TXN-2023-000052,CUST-004,2023-03-12,3,Sunday,Delicatessen,421.72,16,3,False,False,False,Medium,1.5
TXN-2023-000053,CUST-004,2023-04-20,4,Thursday,Grocery,427.59,17,5,False,False,False,Medium,1.5
TXN-2023-000054,CUST-004,2023-04-21,4,Friday,Frozen,526.61,21,1,False,False,False,Medium,1.5
TXN-2023-000055,CUST-004,2023-05-14,5,Sunday,Grocery,533.51,21,5,True,False,False,Low,1.0
TXN-2023-000056,CUST-004,2023-05-15,5,Monday,Fresh,1531.76,61,2,True,False,False,Low,1.0
TXN-2023-000057,CUST-004,2023-05-14,5,Sunday,Frozen,594.93,23,2,True,False,False,Low,1.0
TXN-2023-000058,CUST-004,2023-05-05,5,Friday,Fresh,376.86,15,5,False,False,False,Medium,1.5
TXN-2023-000059,CUST-004,2023-06-25,6,Sunday,Grocery,472.27,18,4,False,True,False,High,1.8
TXN-2023-000060,CUST-004,2023-06-22,6,Thursday,Frozen,210.88,8,2,True,True,False,Medium,1.3
TXN-2023-000061,CUST-004,2023-06-13,6,Tuesday,Fresh,486.94,19,2,True,False,False,Low,1.0
TXN-2023-000062,CUST-004,2023-06-07,6,Wednesday,Frozen,644.05,25,5,False,False,False,Medium,1.5
TXN-2023-000063,CUST-004,2023-07-25,7,Tuesday,Frozen,482.1,19,5,True,True,False,Medium,1.3
TXN-2023-000064,CUST-004,2023-07-15,7,Saturday,Frozen,641.33,25,5,True,True,False,Medium,1.3
TXN-2023-000065,CUST-004,2023-07-20,7,Thursday,Fresh,1234.97,49,1,False,False,False,Medium,1.5
TXN-2023-000066,CUST-004,2023-08-22,8,Tuesday,Grocery,293.02,11,1,True,False,True,Medium,1.2
TXN-2023-000067,CUST-004,2023-08-06,8,Sunday,Fresh,2956.27,118,4,False,False,False,Medium,1.5
TXN-2023-000068,CUST-004,2023-08-08,8,Tuesday,Fresh,626.56,25,2,False,False,False,Medium,1.5
TXN-2023-000069,CUST-004,2023-09-27,9,Wednesday,Frozen,542.91,21,1,False,False,False,Medium,1.5
TXN-2023-000070,CUST-004,2023-09-16,9,Saturday,Fresh,619.32,24,3,True,False,False,Low,1.0
TXN-2023-000071,CUST-004,2023-10-15,10,Sunday,DetergentsPaper,814.1,32,2,True,False,True,Medium,1.2
TXN-2023-000072,CUST-004,2023-10-23,10,Monday,Fresh,1006.69,40,1,True,False,False,Low,1.0
TXN-2023-000073,CUST-004,2023-10-26,10,Thursday,Fresh,358.16,14,3,True,False,False,Low,1.0
TXN-2023-000074,CUST-004,2023-10-03,10,Tuesday,Fresh,665.35,26,5,False,False,False,Medium,1.5
TXN-2023-000075,CUST-004,2023-11-05,11,Sunday,Delicatessen,846.91,33,5,True,False,False,Low,1.0
TXN-2023-000076,CUST-004,2023-11-19,11,Sunday,Fresh,622.44,24,1,False,False,False,Medium,1.5
TXN-2023-000077,CUST-004,2023-12-01,12,Friday,Grocery,771.92,30,2,False,True,False,High,1.8
TXN-2023-000078,CUST-004,2023-12-02,12,Saturday,Fresh,1020.95,40,3,True,False,False,Low,1.0
TXN-2023-000079,CUST-004,2023-12-05,12,Tuesday,Fresh,429.95,17,3,True,False,True,Medium,1.2
TXN-2023-000080,CUST-004,2023-12-15,12,Friday,Frozen,389.21,15,2,True,False,False,Low,1.0
TXN-2023-000081,CUST-005,2023-01-11,1,Wednesday,Milk,5021.3,200,3,True,False,False,Low,1.0
TXN-2023-000082,CUST-005,2023-02-11,2,Saturday,Fresh,1227.66,49,4,True,False,False,Low,1.0
TXN-2023-000083,CUST-005,2023-03-03,3,Friday,Milk,4606.69,184,2,True,False,False,Low,1.0
TXN-2023-000084,CUST-005,2023-04-18,4,Tuesday,Fresh,2761.95,110,5,False,False,False,Medium,1.5
TXN-2023-000085,CUST-005,2023-05-12,5,Friday,Fresh,4560.86,182,2,True,False,False,Low,1.0
TXN-2023-000086,CUST-005,2023-06-26,6,Monday,Frozen,2808.61,112,1,True,False,False,Low,1.0
TXN-2023-000087,CUST-005,2023-07-16,7,Sunday,Fresh,7670.87,306,2,True,False,False,Low,1.0
TXN-2023-000088,CUST-005,2023-08-20,8,Sunday,Fresh,3314.4,132,2,True,False,False,Low,1.0
TXN-2023-000089,CUST-005,2023-09-26,9,Tuesday,Fresh,2936.2,117,3,True,False,False,Low,1.0
TXN-2023-000090,CUST-005,2023-10-15,10,Sunday,Fresh,4404.73,176,2,True,False,False,Low,1.0
TXN-2023-000091,CUST-005,2023-11-25,11,Saturday,Grocery,1381.12,55,4,False,False,False,Medium,1.5
TXN-2023-000092,CUST-005,2023-12-26,12,Tuesday,Milk,5405.59,216,1,True,False,False,Low,1.0
TXN-2023-000093,CUST-006,2023-01-25,1,Wednesday,Grocery,1111.29,44,3,True,False,False,Low,1.0
TXN-2023-000094,CUST-006,2023-01-06,1,Friday,Delicatessen,2021.28,80,4,True,False,False,Low,1.0
TXN-2023-000095,CUST-006,2023-02-15,2,Wednesday,Grocery,1576.73,63,5,True,False,False,Low,1.0
TXN-2023-000096,CUST-006,2023-02-03,2,Friday,Fresh,2067.21,82,2,True,False,False,Low,1.0
TXN-2023-000097,CUST-006,2023-03-02,3,Thursday,Fresh,472.74,18,2,True,False,True,Medium,1.2
TXN-2023-000098,CUST-006,2023-04-09,4,Sunday,Milk,2199.66,87,3,True,False,False,Low,1.0
TXN-2023-000099,CUST-006,2023-05-12,5,Friday,Milk,1444.23,57,5,True,False,False,Low,1.0
TXN-2023-000100,CUST-006,2023-06-03,6,Saturday,DetergentsPaper,1962.95,78,4,True,False,False,Low,1.0
TXN-2023-000101,CUST-006,2023-06-14,6,Wednesday,Grocery,641.01,25,3,True,False,False,Low,1.0
TXN-2023-000102,CUST-006,2023-07-26,7,Wednesday,DetergentsPaper,1709.26,68,1,True,False,False,Low,1.0
TXN-2023-000103,CUST-006,2023-08-07,8,Monday,Grocery,1025.85,41,3,True,False,False,Low,1.0
TXN-2023-000104,CUST-006,2023-09-01,9,Friday,Fresh,943.25,37,1,True,False,True,Medium,1.2
TXN-2023-000105,CUST-006,2023-10-08,10,Sunday,Milk,1407.14,56,3,True,False,False,Low,1.0
TXN-2023-000106,CUST-006,2023-10-10,10,Tuesday,Fresh,2030.96,81,5,True,False,False,Low,1.0
TXN-2023-000107,CUST-006,2023-11-06,11,Monday,Grocery,1452.43,58,5,True,False,True,Medium,1.2
TXN-2023-000108,CUST-006,2023-11-22,11,Wednesday,Grocery,1479.0,59,5,True,False,False,Low,1.0
TXN-2023-000109,CUST-006,2023-12-15,12,Friday,Grocery,3165.01,126,4,True,False,False,Low,1.0
TXN-2023-000110,CUST-007,2023-01-14,1,Saturday,DetergentsPaper,1180.47,47,3,True,False,False,Low,1.0
TXN-2023-000111,CUST-007,2023-01-14,1,Saturday,Fresh,1902.38,76,1,True,False,False,Low,1.0
TXN-2023-000112,CUST-007,2023-02-15,2,Wednesday,Fresh,966.93,38,1,True,False,False,Low,1.0
TXN-2023-000113,CUST-007,2023-02-26,2,Sunday,Fresh,1945.61,77,4,True,False,False,Low,1.0
TXN-2023-000114,CUST-007,2023-03-18,3,Saturday,Milk,1988.85,79,3,True,False,False,Low,1.0
TXN-2023-000115,CUST-007,2023-04-19,4,Wednesday,Fresh,2212.56,88,1,True,False,False,Low,1.0
TXN-2023-000116,CUST-007,2023-04-17,4,Monday,Grocery,1465.58,58,3,True,True,False,Medium,1.3
TXN-2023-000117,CUST-007,2023-05-07,5,Sunday,DetergentsPaper,1334.37,53,1,True,False,False,Low,1.0
TXN-2023-000118,CUST-007,2023-06-08,6,Thursday,Milk,1860.69,74,1,True,False,False,Low,1.0
TXN-2023-000119,CUST-007,2023-06-24,6,Saturday,DetergentsPaper,1699.52,67,5,True,False,False,Low,1.0
TXN-2023-000120,CUST-007,2023-07-19,7,Wednesday,Fresh,1191.69,47,3,True,False,False,Low,1.0
TXN-2023-000121,CUST-007,2023-08-18,8,Friday,Milk,1890.97,75,3,True,False,False,Low,1.0
TXN-2023-000122,CUST-007,2023-09-07,9,Thursday,Grocery,767.14,30,2,True,False,False,Low,1.0
TXN-2023-000123,CUST-007,2023-09-23,9,Saturday,DetergentsPaper,1294.16,51,2,True,False,False,Low,1.0
TXN-2023-000124,CUST-007,2023-10-03,10,Tuesday,Fresh,1761.29,70,3,True,False,False,Low,1.0
TXN-2023-000125,CUST-007,2023-11-05,11,Sunday,Fresh,825.25,33,1,True,False,False,Low,1.0
TXN-2023-000126,CUST-007,2023-12-24,12,Sunday,Grocery,1551.0,62,3,True,False,False,Low,1.0
TXN-2023-000127,CUST-007,2023-12-14,12,Thursday,Fresh,626.53,25,2,False,False,False,Medium,1.5
TXN-2023-000128,CUST-008,2023-01-09,1,Monday,Grocery,2416.21,96,5,True,False,False,Low,1.0
TXN-2023-000129,CUST-008,2023-01-14,1,Saturday,Delicatessen,2416.21,96,2,True,False,False,Low,1.0
TXN-2023-000130,CUST-008,2023-02-06,2,Monday,Delicatessen,2252.96,90,5,True,False,True,Medium,1.2
TXN-2023-000131,CUST-008,2023-03-05,3,Sunday,Grocery,659.54,26,2,True,False,False,Low,1.0
TXN-2023-000132,CUST-008,2023-03-27,3,Monday,DetergentsPaper,2466.25,98,3,True,False,False,Low,1.0
TXN-2023-000133,CUST-008,2023-04-07,4,Friday,Grocery,2693.93,107,1,True,False,False,Low,1.0
TXN-2023-000134,CUST-008,2023-04-02,4,Sunday,Fresh,580.75,23,3,True,False,False,Low,1.0
TXN-2023-000135,CUST-008,2023-05-21,5,Sunday,DetergentsPaper,2523.69,100,3,True,False,False,Low,1.0
TXN-2023-000136,CUST-008,2023-06-03,6,Saturday,Delicatessen,998.1,39,5,True,False,False,Low,1.0
TXN-2023-000137,CUST-008,2023-07-19,7,Wednesday,Grocery,1161.41,46,3,True,False,False,Low,1.0
TXN-2023-000138,CUST-008,2023-08-09,8,Wednesday,Frozen,1767.06,70,5,True,False,False,Low,1.0
TXN-2023-000139,CUST-008,2023-09-11,9,Monday,Grocery,1168.36,46,1,True,False,False,Low,1.0
TXN-2023-000140,CUST-008,2023-10-12,10,Thursday,Delicatessen,1587.02,63,2,True,False,False,Low,1.0
TXN-2023-000141,CUST-008,2023-11-17,11,Friday,Fresh,1477.32,59,2,True,False,False,Low,1.0
TXN-2023-000142,CUST-008,2023-11-16,11,Thursday,DetergentsPaper,1504.21,60,5,True,False,False,Low,1.0
TXN-2023-000143,CUST-008,2023-12-08,12,Friday,Fresh,3843.97,153,1,True,False,True,Medium,1.2
TXN-2023-000144,CUST-009,2023-01-14,1,Saturday,Fresh,103.35,4,2,False,False,True,High,1.8
TXN-2023-000145,CUST-009,2023-01-01,1,Sunday,DetergentsPaper,625.99,25,1,False,False,False,Medium,1.5
TXN-2023-000146,CUST-009,2023-01-27,1,Friday,DetergentsPaper,444.53,17,5,False,False,False,Medium,1.5
TXN-2023-000147,CUST-009,2023-02-14,2,Tuesday,Grocery,497.13,19,5,True,False,True,Medium,1.2
TXN-2023-000148,CUST-009,2023-02-08,2,Wednesday,DetergentsPaper,309.96,12,5,True,False,True,Medium,1.2
TXN-2023-000149,CUST-009,2023-02-25,2,Saturday,Fresh,377.55,15,1,True,False,False,Low,1.0
TXN-2023-000150,CUST-009,2023-03-22,3,Wednesday,Delicatessen,384.93,15,1,True,False,False,Low,1.0
TXN-2023-000151,CUST-009,2023-03-27,3,Monday,Milk,407.61,16,2,True,False,False,Low,1.0
TXN-2023-000152,CUST-009,2023-03-03,3,Friday,Fresh,584.55,23,5,True,False,False,Low,1.0
TXN-2023-000153,CUST-009,2023-03-02,3,Thursday,Milk,421.68,16,3,False,False,True,High,1.8
TXN-2023-000154,CUST-009,2023-04-02,4,Sunday,Frozen,421.98,16,1,False,False,False,Medium,1.5
TXN-2023-000155,CUST-009,2023-04-02,4,Sunday,Milk,1243.42,49,3,True,False,True,Medium,1.2
TXN-2023-000156,CUST-009,2023-04-28,4,Friday,Fresh,492.81,19,4,False,False,False,Medium,1.5
TXN-2023-000157,CUST-009,2023-05-19,5,Friday,Grocery,205.92,8,2,True,False,False,Low,1.0
TXN-2023-000158,CUST-009,2023-05-24,5,Wednesday,Grocery,534.11,21,4,True,False,False,Low,1.0
TXN-2023-000159,CUST-009,2023-05-11,5,Thursday,Fresh,246.87,9,5,True,False,False,Low,1.0
TXN-2023-000160,CUST-009,2023-06-07,6,Wednesday,DetergentsPaper,787.65,31,5,True,True,False,Medium,1.3
TXN-2023-000161,CUST-009,2023-06-10,6,Saturday,Grocery,855.92,34,5,True,False,False,Low,1.0
TXN-2023-000162,CUST-009,2023-06-14,6,Wednesday,Grocery,160.43,6,4,False,False,False,Medium,1.5
TXN-2023-000163,CUST-009,2023-06-17,6,Saturday,Grocery,453.86,18,2,True,False,False,Low,1.0
TXN-2023-000164,CUST-009,2023-07-06,7,Thursday,Fresh,832.46,33,2,True,False,False,Low,1.0
TXN-2023-000165,CUST-009,2023-07-15,7,Saturday,DetergentsPaper,696.46,27,5,True,False,False,Low,1.0
TXN-2023-000166,CUST-009,2023-07-04,7,Tuesday,Fresh,197.81,7,1,True,False,False,Low,1.0
TXN-2023-000167,CUST-009,2023-08-22,8,Tuesday,Grocery,211.74,8,3,True,False,False,Low,1.0
TXN-2023-000168,CUST-009,2023-08-12,8,Saturday,Grocery,557.15,22,3,True,False,True,Medium,1.2
TXN-2023-000169,CUST-009,2023-09-01,9,Friday,Milk,472.56,18,3,False,True,False,High,1.8
TXN-2023-000170,CUST-009,2023-09-02,9,Saturday,Delicatessen,411.64,16,1,False,False,False,Medium,1.5
TXN-2023-000171,CUST-009,2023-09-11,9,Monday,Fresh,572.8,22,2,True,False,False,Low,1.0
TXN-2023-000172,CUST-009,2023-09-03,9,Sunday,DetergentsPaper,381.51,15,4,False,False,False,Medium,1.5
TXN-2023-000173,CUST-009,2023-10-05,10,Thursday,Grocery,321.0,12,3,False,False,False,Medium,1.5
TXN-2023-000174,CUST-009,2023-10-28,10,Saturday,Grocery,841.14,33,2,False,True,False,High,1.8
TXN-2023-000175,CUST-009,2023-10-12,10,Thursday,Grocery,1312.3,52,4,True,False,False,Low,1.0
TXN-2023-000176,CUST-009,2023-10-17,10,Tuesday,Fresh,346.77,13,3,True,False,False,Low,1.0
TXN-2023-000177,CUST-009,2023-11-12,11,Sunday,Fresh,277.85,11,4,True,False,False,Low,1.0
TXN-2023-000178,CUST-009,2023-11-14,11,Tuesday,Grocery,376.04,15,4,False,False,False,Medium,1.5
TXN-2023-000179,CUST-009,2023-11-28,11,Tuesday,Fresh,479.9,19,5,False,False,False,Medium,1.5
TXN-2023-000180,CUST-009,2023-11-13,11,Monday,Fresh,146.57,5,5,False,False,False,Medium,1.5
TXN-2023-000181,CUST-009,2023-12-06,12,Wednesday,Fresh,336.97,13,5,True,False,False,Low,1.0
TXN-2023-000182,CUST-009,2023-12-11,12,Monday,Milk,361.11,14,1,False,False,False,Medium,1.5
TXN-2023-000183,CUST-010,2023-01-15,1,Sunday,DetergentsPaper,4843.15,193,3,True,False,False,Low,1.0
TXN-2023-000184,CUST-010,2023-02-26,2,Sunday,Grocery,3541.49,141,1,True,False,False,Low,1.0
TXN-2023-000185,CUST-010,2023-03-12,3,Sunday,Milk,2534.66,101,5,True,False,False,Low,1.0
TXN-2023-000186,CUST-010,2023-04-14,4,Friday,Milk,822.83,32,5,True,False,False,Low,1.0
TXN-2023-000187,CUST-010,2023-05-18,5,Thursday,Fresh,1996.26,79,3,True,False,False,Low,1.0
TXN-2023-000188,CUST-010,2023-06-03,6,Saturday,Fresh,2187.58,87,3,True,False,True,Medium,1.2
TXN-2023-000189,CUST-010,2023-07-01,7,Saturday,DetergentsPaper,3132.79,125,1,True,False,False,Low,1.0
TXN-2023-000190,CUST-010,2023-08-20,8,Sunday,Grocery,1400.02,56,4,True,False,True,Medium,1.2
TXN-2023-000191,CUST-010,2023-08-17,8,Thursday,Grocery,1784.5,71,1,True,False,False,Low,1.0
TXN-2023-000192,CUST-010,2023-09-02,9,Saturday,Grocery,1828.28,73,4,True,False,False,Low,1.0
TXN-2023-000193,CUST-010,2023-10-22,10,Sunday,Milk,5347.96,213,3,True,False,False,Low,1.0
TXN-2023-000194,CUST-010,2023-10-03,10,Tuesday,Frozen,4560.53,182,4,True,False,False,Low,1.0
TXN-2023-000195,CUST-010,2023-11-14,11,Tuesday,Grocery,5651.14,226,5,True,False,False,Low,1.0
TXN-2023-000196,CUST-010,2023-11-28,11,Tuesday,Grocery,2731.44,109,1,True,False,False,Low,1.0
TXN-2023-000197,CUST-010,2023-12-25,12,Monday,Delicatessen,4299.36,171,2,True,True,False,Medium,1.3
TXN-2023-000198,CUST-011,2023-01-20,1,Friday,Grocery,2631.1,105,2,True,False,True,Medium,1.2
TXN-2023-000199,CUST-011,2023-02-01,2,Wednesday,Milk,913.72,36,5,True,False,False,Low,1.0
TXN-2023-000200,CUST-011,2023-02-14,2,Tuesday,Frozen,1735.9,69,4,True,False,True,Medium,1.2
TXN-2023-000201,CUST-011,2023-03-02,3,Thursday,Grocery,762.15,30,5,True,False,False,Low,1.0
TXN-2023-000202,CUST-011,2023-03-18,3,Saturday,Grocery,1431.66,57,4,True,False,False,Low,1.0
TXN-2023-000203,CUST-011,2023-04-18,4,Tuesday,Milk,3273.48,130,2,True,False,False,Low,1.0
TXN-2023-000204,CUST-011,2023-05-06,5,Saturday,DetergentsPaper,1554.02,62,2,True,False,False,Low,1.0
TXN-2023-000205,CUST-011,2023-06-18,6,Sunday,Milk,2751.6,110,2,True,False,True,Medium,1.2
TXN-2023-000206,CUST-011,2023-07-08,7,Saturday,DetergentsPaper,991.76,39,4,True,False,False,Low,1.0
TXN-2023-000207,CUST-011,2023-08-21,8,Monday,Frozen,1670.95,66,1,True,False,False,Low,1.0
TXN-2023-000208,CUST-011,2023-09-06,9,Wednesday,Grocery,1670.45,66,1,True,False,False,Low,1.0
TXN-2023-000209,CUST-011,2023-10-13,10,Friday,Grocery,3038.19,121,3,True,False,False,Low,1.0
TXN-2023-000210,CUST-011,2023-10-06,10,Friday,Grocery,3665.53,146,2,True,False,False,Low,1.0
TXN-2023-000211,CUST-011,2023-11-11,11,Saturday,Grocery,2832.97,113,1,True,False,False,Low,1.0
TXN-2023-000212,CUST-011,2023-12-15,12,Friday,Frozen,3231.26,129,4,True,False,False,Low,1.0
TXN-2023-000213,CUST-011,2023-12-03,12,Sunday,Milk,1709.27,68,2,True,False,False,Low,1.0
TXN-2023-000214,CUST-012,2023-01-22,1,Sunday,Fresh,1646.45,65,5,True,False,False,Low,1.0
TXN-2023-000215,CUST-012,2023-02-15,2,Wednesday,Fresh,1736.94,69,2,True,False,False,Low,1.0
TXN-2023-000216,CUST-012,2023-03-04,3,Saturday,Grocery,1384.4,55,3,True,False,False,Low,1.0
TXN-2023-000217,CUST-012,2023-04-07,4,Friday,Fresh,602.55,24,1,True,False,False,Low,1.0
TXN-2023-000218,CUST-012,2023-05-04,5,Thursday,Fresh,1483.26,59,1,True,False,False,Low,1.0
TXN-2023-000219,CUST-012,2023-05-13,5,Saturday,Fresh,2026.43,81,5,True,False,False,Low,1.0
TXN-2023-000220,CUST-012,2023-06-10,6,Saturday,Fresh,456.53,18,1,True,False,False,Low,1.0
TXN-2023-000221,CUST-012,2023-07-26,7,Wednesday,Fresh,1489.54,59,4,True,False,False,Low,1.0
TXN-2023-000222,CUST-012,2023-08-10,8,Thursday,Grocery,2354.52,94,3,True,False,False,Low,1.0
TXN-2023-000223,CUST-012,2023-09-15,9,Friday,Fresh,2153.45,86,4,True,False,False,Low,1.0
TXN-2023-000224,CUST-012,2023-09-16,9,Saturday,Fresh,1257.19,50,3,True,False,False,Low,1.0
TXN-2023-000225,CUST-012,2023-10-14,10,Saturday,Milk,1200.11,48,1,True,False,False,Low,1.0
TXN-2023-000226,CUST-012,2023-11-21,11,Tuesday,Grocery,1656.65,66,2,True,False,False,Low,1.0
TXN-2023-000227,CUST-012,2023-11-07,11,Tuesday,Fresh,740.9,29,3,True,False,False,Low,1.0
TXN-2023-000228,CUST-012,2023-12-13,12,Wednesday,Fresh,1070.08,42,5,True,False,False,Low,1.0
TXN-2023-000229,CUST-013,2023-01-25,1,Wednesday,Grocery,6786.7,271,4,True,False,False,Low,1.0
TXN-2023-000230,CUST-013,2023-01-16,1,Monday,Fresh,1747.59,69,4,True,True,False,Medium,1.3
TXN-2023-000231,CUST-013,2023-02-24,2,Friday,Milk,2597.33,103,1,True,False,False,Low,1.0
TXN-2023-000232,CUST-013,2023-03-08,3,Wednesday,Grocery,3860.25,154,1,True,False,False,Low,1.0
TXN-2023-000233,CUST-013,2023-04-14,4,Friday,Fresh,1937.35,77,2,True,False,False,Low,1.0
TXN-2023-000234,CUST-013,2023-04-25,4,Tuesday,Milk,5731.69,229,3,True,False,False,Low,1.0
TXN-2023-000235,CUST-013,2023-05-18,5,Thursday,Milk,2195.39,87,3,True,False,False,Low,1.0
TXN-2023-000236,CUST-013,2023-06-20,6,Tuesday,Fresh,5476.64,219,1,True,False,False,Low,1.0
TXN-2023-000237,CUST-013,2023-07-24,7,Monday,Milk,1793.57,71,3,True,False,False,Low,1.0
TXN-2023-000238,CUST-013,2023-07-21,7,Friday,Fresh,1952.64,78,3,True,False,False,Low,1.0
TXN-2023-000239,CUST-013,2023-08-10,8,Thursday,Grocery,3332.61,133,1,True,False,False,Low,1.0
TXN-2023-000240,CUST-013,2023-08-01,8,Tuesday,Milk,9001.76,360,5,True,False,False,Low,1.0
