TransactionID,CustomerID,ProductCategory,OrderIntensity,IsCustomOrder,Quantity,NumberOfLineItems,OrderWeight_kg,TransactionAmount_EUR,PickPackCost_EUR,ReceivingCost_EUR,PutawayCost_EUR,StorageCost_EUR,IndirectLaborCost_EUR,InboundTransportCost_EUR,ShrinkageCost_EUR,ReturnsCost_EUR,EquipmentTechCost_EUR,ColdChainMultiplier,ServiceCostMultiplier,TotalWarehouseOperationsCost_EUR,CostPerUnit_EUR
TXN-2023-000013,CUST-001,Fresh,High,False,158,2,417.84,3951.71,15.0,5.0,102.7,250.7,18.41,10.0,197.59,118.55,19.59,1.5,1.8,1991.34,12.6
TXN-2023-000014,CUST-001,Milk,Low,False,67,5,58.8,1696.28,32.5,5.0,43.55,20.58,12.16,10.0,50.89,33.93,5.69,1.5,1.0,321.44,4.8
TXN-2023-000015,CUST-001,Milk,Low,False,81,5,71.09,2039.2,32.5,5.0,52.65,24.88,13.52,10.0,61.18,40.78,6.43,1.5,1.0,370.41,4.57
TXN-2023-000016,CUST-001,Frozen,Low,False,74,2,115.31,1866.38,13.0,5.0,48.1,46.12,9.91,10.0,37.33,37.33,6.11,1.0,1.0,212.9,2.88
TXN-2023-000017,CUST-002,Milk,Low,False,83,1,72.84,2099.6,6.5,5.0,53.95,25.49,9.82,10.0,62.99,41.99,5.04,1.5,1.0,331.17,3.99
TXN-2023-000018,CUST-002,Milk,Low,False,145,5,127.25,3629.81,32.5,5.0,94.25,44.54,19.76,10.0,108.89,72.6,9.8,1.5,1.0,596.02,4.11
TXN-2023-000019,CUST-002,Milk,Low,False,85,4,74.6,2136.44,26.0,5.0,55.25,26.11,12.94,10.0,64.09,42.73,6.26,1.5,1.0,372.57,4.38
TXN-2023-000020,CUST-002,Milk,Low,False,139,4,121.99,3491.56,26.0,5.0,90.35,42.7,18.2,10.0,104.75,69.83,9.11,1.5,1.0,563.91,4.06
TXN-2023-000021,CUST-002,Frozen,Low,False,81,4,126.22,2049.78,26.0,5.0,52.65,50.49,12.55,10.0,41.0,41.0,7.33,1.0,1.0,246.01,3.04
TXN-2023-000022,CUST-002,Grocery,Low,False,47,3,222.74,1199.65,18.0,5.0,30.55,22.27,8.03,10.0,12.0,12.0,4.19,1.0,1.0,122.04,2.6
TXN-2023-000023,CUST-002,Fresh,Low,False,64,1,169.25,1613.87,7.5,5.0,41.6,50.78,8.12,10.0,80.69,48.42,5.65,1.5,1.0,386.62,6.04
TXN-2023-000024,CUST-002,Milk,Low,False,77,1,67.58,1935.69,6.5,5.0,50.05,23.65,9.23,10.0,58.07,38.71,4.72,1.5,1.0,308.91,4.01
TXN-2023-000025,CUST-002,Grocery,Low,False,49,2,232.22,1228.88,12.0,5.0,31.85,23.22,7.33,10.0,12.29,12.29,3.97,1.0,1.0,117.95,2.41
TXN-2023-000026,CUST-002,Fresh,Low,False,80,4,211.56,2020.74,30.0,5.0,52.0,63.47,13.05,10.0,101.04,60.62,8.18,1.5,1.0,515.03,6.44
TXN-2023-000027,CUST-002,Milk,Low,False,63,3,55.29,1584.54,19.5,5.0,40.95,19.35,9.82,10.0,47.54,31.69,4.73,1.5,1.0,282.86,4.49
TXN-2023-000028,CUST-002,Fresh,Medium,False,66,4,174.54,1657.17,30.0,5.0,42.9,78.54,11.69,10.0,82.86,49.72,8.41,1.5,1.2,574.39,8.7
TXN-2023-000029,CUST-002,Grocery,Low,False,111,5,526.05,2776.68,30.0,5.0,72.15,52.6,16.07,10.0,27.77,27.77,8.79,1.0,1.0,250.15,2.25
TXN-2023-000030,CUST-002,Grocery,Medium,False,36,1,170.61,907.22,6.0,5.0,23.4,25.59,5.16,10.0,9.07,9.07,3.26,1.0,1.3,125.52,3.49
TXN-2023-000031,CUST-002,Grocery,Low,False,98,3,464.44,2474.52,18.0,5.0,63.7,46.44,13.01,10.0,24.75,24.75,7.31,1.0,1.0,212.95,2.17
TXN-2023-000032,CUST-002,Grocery,Low,False,98,5,464.44,2459.85,30.0,5.0,63.7,46.44,14.8,10.0,24.6,24.6,8.0,1.0,1.0,227.14,2.32
TXN-2023-000033,CUST-003,DetergentsPaper,Low,False,294,2,298.59,7355.12,11.0,5.0,191.1,23.89,31.06,10.0,36.78,36.78,13.1,1.0,1.0,358.71,1.22
TXN-2023-000034,CUST-003,Milk,Low,False,143,2,125.5,3588.89,13.0,5.0,92.95,43.92,16.64,10.0,107.67,71.78,8.58,1.5,1.0,554.31,3.88
TXN-2023-000035,CUST-003,Grocery,Low,False,136,2,644.53,3416.48,12.0,5.0,88.4,64.45,15.81,10.0,34.16,34.16,9.28,1.0,1.0,273.28,2.01
TXN-2023-000036,CUST-003,Fresh,Medium,False,62,1,163.96,1561.35,7.5,5.0,40.3,73.78,7.92,10.0,78.07,46.84,6.73,1.5,1.2,497.04,8.02
TXN-2023-000037,CUST-003,Delicatessen,Medium,False,56,4,34.36,1404.01,28.0,5.0,36.4,16.49,10.41,10.0,112.32,70.2,4.82,1.5,1.3,572.59,10.22
TXN-2023-000038,CUST-003,Frozen,Low,False,121,3,188.55,3032.51,19.5,5.0,78.65,75.42,15.47,10.0,60.65,60.65,9.7,1.0,1.0,335.04,2.77
TXN-2023-000039,CUST-003,Delicatessen,Medium,False,185,1,113.5,4636.8,7.0,5.0,120.25,54.48,19.84,10.0,370.94,231.84,10.33,1.5,1.5,1866.78,10.09
TXN-2023-000040,CUST-003,Milk,Low,False,51,5,44.76,1295.43,32.5,5.0,33.15,15.67,10.6,10.0,38.86,25.91,4.85,1.5,1.0,264.79,5.19
TXN-2023-000041,CUST-003,Fresh,Low,False,85,4,224.79,2130.17,30.0,5.0,55.25,67.44,13.54,10.0,106.51,63.91,8.56,1.5,1.0,540.3,6.36
TXN-2023-000042,CUST-003,Delicatessen,Low,False,101,4,61.96,2540.88,28.0,5.0,65.65,19.83,14.8,10.0,203.27,127.04,6.66,1.5,1.0,720.38,7.13
TXN-2023-000043,CUST-003,Grocery,Medium,False,152,2,720.36,3811.44,12.0,5.0,98.8,108.05,17.37,10.0,38.11,38.11,12.06,1.0,1.5,509.27,3.35
TXN-2023-000044,CUST-003,Frozen,Low,False,73,1,113.75,1836.92,6.5,5.0,47.45,45.5,8.84,10.0,36.74,36.74,5.66,1.0,1.0,202.43,2.77
TXN-2023-000045,CUST-004,Fresh,Medium,False,26,2,68.76,658.59,15.0,5.0,16.9,30.94,5.54,10.0,32.93,19.76,3.67,1.5,1.5,314.4,12.09
TXN-2023-000046,CUST-004,Fresh,Low,False,32,2,84.63,802.01,15.0,5.0,20.8,25.39,6.12,10.0,40.1,24.06,3.62,1.5,1.0,225.13,7.04
TXN-2023-000047,CUST-004,Fresh,High,False,69,5,182.47,1746.71,37.5,5.0,44.85,109.48,13.1,10.0,87.34,52.4,10.5,1.5,1.8,999.46,14.48
TXN-2023-000048,CUST-004,Frozen,Low,False,26,1,40.51,672.9,6.5,5.0,16.9,16.21,4.26,10.0,13.46,13.46,2.44,1.0,1.0,88.23,3.39
TXN-2023-000049,CUST-004,Delicatessen,Medium,False,12,4,7.36,309.44,28.0,5.0,7.8,3.53,6.12,10.0,24.76,15.47,2.52,1.5,1.5,232.21,19.35
TXN-2023-000050,CUST-004,Fresh,Low,False,60,5,158.67,1510.24,37.5,5.0,39.0,47.6,12.22,10.0,75.51,45.31,7.07,1.5,1.0,418.82,6.98
TXN-2023-000051,CUST-004,Milk,Medium,False,45,1,39.49,1131.87,6.5,5.0,29.25,20.73,6.11,10.0,33.96,22.64,3.38,1.5,1.5,309.53,6.88
TXN-2023-000052,CUST-004,Delicatessen,Medium,False,16,3,9.82,421.72,21.0,5.0,10.4,4.71,5.46,10.0,33.74,21.09,2.33,1.5,1.5,255.88,15.99
TXN-2023-000053,CUST-004,Grocery,Medium,False,17,5,80.57,427.59,30.0,5.0,11.05,12.08,6.91,10.0,4.28,4.28,3.25,1.0,1.5,130.27,7.66
TXN-2023-000054,CUST-004,Frozen,Medium,False,21,1,32.72,526.61,6.5,5.0,13.65,19.63,3.77,10.0,10.53,10.53,2.43,1.0,1.5,123.07,5.86
TXN-2023-000055,CUST-004,Grocery,Low,False,21,5,99.52,533.51,30.0,5.0,13.65,9.95,7.3,10.0,5.34,5.34,3.29,1.0,1.0,89.86,4.28
TXN-2023-000056,CUST-004,Fresh,Low,False,61,2,161.32,1531.76,15.0,5.0,39.65,48.4,8.95,10.0,76.59,45.95,5.85,1.5,1.0,383.07,6.28
TXN-2023-000057,CUST-004,Frozen,Low,False,23,2,35.84,594.93,13.0,5.0,14.95,14.34,4.94,10.0,11.9,11.9,2.61,1.0,1.0,88.64,3.85
TXN-2023-000058,CUST-004,Fresh,Medium,False,15,5,39.67,376.86,37.5,5.0,9.75,17.85,7.84,10.0,18.84,11.31,3.9,1.5,1.5,274.46,18.3
TXN-2023-000059,CUST-004,Grocery,High,False,18,4,85.31,472.27,24.0,5.0,11.7,17.06,6.11,10.0,4.72,4.72,3.19,1.0,1.8,155.71,8.65
TXN-2023-000060,CUST-004,Frozen,Medium,False,8,2,12.47,210.88,13.0,5.0,5.2,7.48,3.48,10.0,4.22,4.22,1.71,1.0,1.3,70.59,8.82
TXN-2023-000061,CUST-004,Fresh,Low,False,19,2,50.25,486.94,15.0,5.0,12.35,15.07,4.85,10.0,24.35,14.61,2.61,1.5,1.0,155.77,8.2
TXN-2023-000062,CUST-004,Frozen,Medium,False,25,5,38.96,644.05,32.5,5.0,16.25,23.37,8.06,10.0,12.88,12.88,4.26,1.0,1.5,187.81,7.51
TXN-2023-000063,CUST-004,Frozen,Medium,False,19,5,29.61,482.1,32.5,5.0,12.35,17.76,7.48,10.0,9.64,9.64,3.75,1.0,1.3,140.57,7.4
TXN-2023-000064,CUST-004,Frozen,Medium,False,25,5,38.96,641.33,32.5,5.0,16.25,23.37,8.06,10.0,12.83,12.83,4.26,1.0,1.3,162.63,6.51
TXN-2023-000065,CUST-004,Fresh,Medium,False,49,1,129.58,1234.97,7.5,5.0,31.85,58.31,6.65,10.0,61.75,37.05,5.47,1.5,1.5,503.05,10.27
TXN-2023-000066,CUST-004,Grocery,Medium,False,11,1,52.13,293.02,6.0,5.0,7.15,7.82,2.72,10.0,2.93,2.93,1.43,1.0,1.2,55.18,5.02
TXN-2023-000067,CUST-004,Fresh,Medium,False,118,4,312.06,2956.27,30.0,5.0,76.7,140.43,16.75,10.0,147.81,88.69,13.44,1.5,1.5,1189.86,10.08
TXN-2023-000068,CUST-004,Fresh,Medium,False,25,2,66.11,626.56,15.0,5.0,16.25,29.75,5.44,10.0,31.33,18.8,3.57,1.5,1.5,304.05,12.16
TXN-2023-000069,CUST-004,Frozen,Medium,False,21,1,32.72,542.91,6.5,5.0,13.65,19.63,3.77,10.0,10.86,10.86,2.43,1.0,1.5,124.05,5.91
TXN-2023-000070,CUST-004,Fresh,Low,False,24,3,63.47,619.32,22.5,5.0,15.6,19.04,6.46,10.0,30.97,18.58,3.43,1.5,1.0,197.37,8.22
TXN-2023-000071,CUST-004,DetergentsPaper,Medium,False,32,2,32.5,814.1,11.0,5.0,20.8,3.9,5.52,10.0,4.07,4.07,2.31,1.0,1.2,80.01,2.5
TXN-2023-000072,CUST-004,Fresh,Low,False,40,1,105.78,1006.69,7.5,5.0,26.0,31.73,5.77,10.0,50.33,30.2,3.8,1.5,1.0,255.52,6.39
TXN-2023-000073,CUST-004,Fresh,Low,False,14,3,37.02,358.16,22.5,5.0,9.1,11.11,5.49,10.0,17.91,10.74,2.66,1.5,1.0,141.76,10.13
TXN-2023-000074,CUST-004,Fresh,Medium,False,26,5,68.76,665.35,37.5,5.0,16.9,30.94,8.91,10.0,33.27,19.96,4.96,1.5,1.5,376.74,14.49
TXN-2023-000075,CUST-004,Delicatessen,Low,False,33,5,20.25,846.91,35.0,5.0,21.45,6.48,9.22,10.0,67.75,42.35,3.86,1.5,1.0,301.65,9.14
TXN-2023-000076,CUST-004,Fresh,Medium,False,24,1,63.47,622.44,7.5,5.0,15.6,28.56,4.21,10.0,31.12,18.67,3.04,1.5,1.5,278.36,11.6
TXN-2023-000077,CUST-004,Grocery,High,False,30,2,142.18,771.92,12.0,5.0,19.5,28.44,5.47,10.0,7.72,7.72,3.52,1.0,1.8,178.86,5.96
TXN-2023-000078,CUST-004,Fresh,Low,False,40,3,105.78,1020.95,22.5,5.0,26.0,31.73,8.03,10.0,51.05,30.63,4.66,1.5,1.0,284.4,7.11
TXN-2023-000079,CUST-004,Fresh,Medium,False,17,3,44.96,429.95,22.5,5.0,11.05,20.23,5.78,10.0,21.5,12.9,3.23,1.5,1.2,201.94,11.88
TXN-2023-000080,CUST-004,Frozen,Low,False,15,2,23.37,389.21,13.0,5.0,9.75,9.35,4.16,10.0,7.78,7.78,2.06,1.0,1.0,68.89,4.59
TXN-2023-000081,CUST-005,Milk,Low,False,200,3,175.52,5021.3,19.5,5.0,130.0,61.43,23.18,10.0,150.64,100.43,11.96,1.5,1.0,768.19,3.84
TXN-2023-000082,CUST-005,Fresh,Low,False,49,4,129.58,1227.66,30.0,5.0,31.85,38.87,10.03,10.0,61.38,36.83,5.79,1.5,1.0,344.63,7.03
TXN-2023-000083,CUST-005,Milk,Low,False,184,2,161.48,4606.69,13.0,5.0,119.6,56.52,20.64,10.0,138.2,92.13,10.74,1.5,1.0,698.74,3.8
TXN-2023-000084,CUST-005,Fresh,Medium,False,110,5,290.9,2761.95,37.5,5.0,71.5,130.9,17.1,10.0,138.1,82.86,13.1,1.5,1.5,1138.64,10.35
TXN-2023-000085,CUST-005,Fresh,Low,False,182,2,481.31,4560.86,15.0,5.0,118.3,144.39,20.75,10.0,228.04,136.83,15.17,1.5,1.0,1040.22,5.72
TXN-2023-000086,CUST-005,Frozen,Low,False,112,1,174.52,2808.61,6.5,5.0,72.8,69.81,12.64,10.0,56.17,56.17,8.34,1.0,1.0,297.44,2.66
TXN-2023-000087,CUST-005,Fresh,Low,False,306,2,809.23,7670.87,15.0,5.0,198.9,242.77,32.84,10.0,383.54,230.13,24.73,1.5,1.0,1714.35,5.6
TXN-2023-000088,CUST-005,Fresh,Low,False,132,2,349.08,3314.4,15.0,5.0,85.8,104.72,15.87,10.0,165.72,99.43,11.32,1.5,1.0,769.3,5.83
TXN-2023-000089,CUST-005,Fresh,Low,False,117,3,309.41,2936.2,22.5,5.0,76.05,92.82,15.53,10.0,146.81,88.09,10.6,1.5,1.0,701.1,5.99
TXN-2023-000090,CUST-005,Fresh,Low,False,176,2,465.44,4404.73,15.0,5.0,114.4,139.63,20.16,10.0,220.24,132.14,14.71,1.5,1.0,1006.92,5.72
TXN-2023-000091,CUST-005,Grocery,Medium,False,55,4,260.66,1381.12,24.0,5.0,35.75,39.1,9.71,10.0,13.81,13.81,5.68,1.0,1.5,235.29,4.28
TXN-2023-000092,CUST-005,Milk,Low,False,216,1,189.56,5405.59,6.5,5.0,140.4,66.35,22.79,10.0,162.17,108.11,12.05,1.5,1.0,800.04,3.7
TXN-2023-000093,CUST-006,Grocery,Low,False,44,3,208.52,1111.29,18.0,5.0,28.6,20.85,7.74,10.0,11.11,11.11,4.01,1.0,1.0,116.43,2.65
TXN-2023-000094,CUST-006,Delicatessen,Low,False,80,4,49.08,2021.28,28.0,5.0,52.0,15.71,12.75,10.0,161.7,101.06,5.67,1.5,1.0,587.84,7.35
TXN-2023-000095,CUST-006,Grocery,Low,False,63,5,298.57,1576.73,30.0,5.0,40.95,29.86,11.39,10.0,15.77,15.77,5.86,1.0,1.0,164.59,2.61
TXN-2023-000096,CUST-006,Fresh,Low,False,82,2,216.85,2067.21,15.0,5.0,53.3,65.06,11.0,10.0,103.36,62.02,7.47,1.5,1.0,498.29,6.08
TXN-2023-000097,CUST-006,Fresh,Medium,False,18,2,47.6,472.74,15.0,5.0,11.7,21.42,4.75,10.0,23.64,14.18,2.89,1.5,1.2,195.46,10.86
TXN-2023-000098,CUST-006,Milk,Low,False,87,3,76.35,2199.66,19.5,5.0,56.55,26.72,12.16,10.0,65.99,43.99,6.0,1.5,1.0,368.86,4.24
TXN-2023-000099,CUST-006,Milk,Low,False,57,5,50.02,1444.23,32.5,5.0,37.05,17.51,11.18,10.0,43.33,28.88,5.16,1.5,1.0,285.92,5.02
TXN-2023-000100,CUST-006,DetergentsPaper,Low,False,78,4,79.22,1962.95,22.0,5.0,50.7,6.34,11.65,10.0,9.81,9.81,4.78,1.0,1.0,130.11,1.67
TXN-2023-000101,CUST-006,Grocery,Low,False,25,3,118.48,641.01,18.0,5.0,16.25,11.85,5.89,10.0,6.41,6.41,2.85,1.0,1.0,82.65,3.31
TXN-2023-000102,CUST-006,DetergentsPaper,Low,False,68,1,69.06,1709.26,5.5,5.0,44.2,5.52,8.21,10.0,8.55,8.55,3.42,1.0,1.0,98.94,1.46
TXN-2023-000103,CUST-006,Grocery,Low,False,41,3,194.31,1025.85,18.0,5.0,26.65,19.43,7.45,10.0,10.26,10.26,3.83,1.0,1.0,110.87,2.7
TXN-2023-000104,CUST-006,Fresh,Medium,False,37,1,97.85,943.25,7.5,5.0,24.05,44.03,5.48,10.0,47.16,28.3,4.3,1.5,1.2,316.49,8.55
TXN-2023-000105,CUST-006,Milk,Low,False,56,3,49.15,1407.14,19.5,5.0,36.4,17.2,9.13,10.0,42.21,28.14,4.36,1.5,1.0,257.93,4.61
TXN-2023-000106,CUST-006,Fresh,Low,False,81,5,214.21,2030.96,37.5,5.0,52.65,64.26,14.27,10.0,101.55,60.93,8.68,1.5,1.0,532.27,6.57
TXN-2023-000107,CUST-006,Grocery,Medium,False,58,5,274.87,1452.43,30.0,5.0,37.7,41.23,10.9,10.0,14.52,14.52,6.24,1.0,1.2,204.15,3.52
TXN-2023-000108,CUST-006,Grocery,Low,False,59,5,279.61,1479.0,30.0,5.0,38.35,27.96,11.0,10.0,14.79,14.79,5.62,1.0,1.0,157.51,2.67
TXN-2023-000109,CUST-006,Grocery,Low,False,126,4,597.14,3165.01,24.0,5.0,81.9,59.71,16.64,10.0,31.65,31.65,9.36,1.0,1.0,269.91,2.14
TXN-2023-000110,CUST-007,DetergentsPaper,Low,False,47,3,47.73,1180.47,16.5,5.0,30.55,3.82,7.81,10.0,5.9,5.9,3.18,1.0,1.0,88.66,1.89
TXN-2023-000111,CUST-007,Fresh,Low,False,76,1,200.99,1902.38,7.5,5.0,49.4,60.3,9.29,10.0,95.12,57.07,6.57,1.5,1.0,450.37,5.93
TXN-2023-000112,CUST-007,Fresh,Low,False,38,1,100.49,966.93,7.5,5.0,24.7,30.15,5.58,10.0,48.35,29.01,3.65,1.5,1.0,245.89,6.47
TXN-2023-000113,CUST-007,Fresh,Low,False,77,4,203.63,1945.61,30.0,5.0,50.05,61.09,12.76,10.0,97.28,58.37,7.94,1.5,1.0,498.74,6.48
TXN-2023-000114,CUST-007,Milk,Low,False,79,3,69.33,1988.85,19.5,5.0,51.35,24.27,11.38,10.0,59.67,39.78,5.57,1.5,1.0,339.77,4.3
TXN-2023-000115,CUST-007,Fresh,Low,False,88,1,232.72,2212.56,7.5,5.0,57.2,69.82,10.46,10.0,110.63,66.38,7.5,1.5,1.0,516.71,5.87
TXN-2023-000116,CUST-007,Grocery,Medium,False,58,3,274.87,1465.58,18.0,5.0,37.7,41.23,9.11,10.0,14.66,14.66,5.55,1.0,1.3,202.67,3.49
TXN-2023-000117,CUST-007,DetergentsPaper,Low,False,53,1,53.83,1334.37,5.5,5.0,34.45,4.31,6.74,10.0,6.67,6.67,2.8,1.0,1.0,82.14,1.55
TXN-2023-000118,CUST-007,Milk,Low,False,74,1,64.94,1860.69,6.5,5.0,48.1,22.73,8.94,10.0,55.82,37.21,4.56,1.5,1.0,298.3,4.03
TXN-2023-000119,CUST-007,DetergentsPaper,Low,False,67,5,68.05,1699.52,27.5,5.0,43.55,5.44,11.41,10.0,8.5,8.5,4.65,1.0,1.0,124.54,1.86
TXN-2023-000120,CUST-007,Fresh,Low,False,47,3,124.29,1191.69,22.5,5.0,30.55,37.29,8.71,10.0,59.58,35.75,5.2,1.5,1.0,321.87,6.85
TXN-2023-000121,CUST-007,Milk,Low,False,75,3,65.82,1890.97,19.5,5.0,48.75,23.04,10.99,10.0,56.73,37.82,5.36,1.5,1.0,325.78,4.34
TXN-2023-000122,CUST-007,Grocery,Low,False,30,2,142.18,767.14,12.0,5.0,19.5,14.22,5.47,10.0,7.67,7.67,2.81,1.0,1.0,84.34,2.81
TXN-2023-000123,CUST-007,DetergentsPaper,Low,False,51,2,51.8,1294.16,11.0,5.0,33.15,4.14,7.37,10.0,6.47,6.47,3.03,1.0,1.0,86.64,1.7
TXN-2023-000124,CUST-007,Fresh,Low,False,70,3,185.12,1761.29,22.5,5.0,45.5,55.54,10.95,10.0,88.06,52.84,6.97,1.5,1.0,446.04,6.37
TXN-2023-000125,CUST-007,Fresh,Low,False,33,1,87.27,825.25,7.5,5.0,21.45,26.18,5.09,10.0,41.26,24.76,3.26,1.5,1.0,216.76,6.57
TXN-2023-000126,CUST-007,Grocery,Low,False,62,3,293.83,1551.0,18.0,5.0,40.3,29.38,9.5,10.0,15.51,15.51,5.11,1.0,1.0,148.31,2.39
TXN-2023-000127,CUST-007,Fresh,Medium,False,25,2,66.11,626.53,15.0,5.0,16.25,29.75,5.44,10.0,31.33,18.8,3.57,1.5,1.5,304.05,12.16
TXN-2023-000128,CUST-008,Grocery,Low,False,96,5,454.96,2416.21,30.0,5.0,62.4,45.5,14.61,10.0,24.16,24.16,7.88,1.0,1.0,223.71,2.33
TXN-2023-000129,CUST-008,Delicatessen,Low,False,96,2,58.9,2416.21,14.0,5.0,62.4,18.85,12.21,10.0,193.3,120.81,5.62,1.5,1.0,663.28,6.91
TXN-2023-000130,CUST-008,Delicatessen,Medium,False,90,5,55.22,2252.96,35.0,5.0,58.5,26.5,14.77,10.0,180.24,112.65,6.99,1.5,1.2,809.37,8.99
TXN-2023-000131,CUST-008,Grocery,Low,False,26,2,123.22,659.54,12.0,5.0,16.9,12.32,5.09,10.0,6.6,6.6,2.57,1.0,1.0,77.06,2.96
TXN-2023-000132,CUST-008,DetergentsPaper,Low,False,98,3,99.53,2466.25,16.5,5.0,63.7,7.96,12.78,10.0,12.33,12.33,5.3,1.0,1.0,145.9,1.49
TXN-2023-000133,CUST-008,Grocery,Low,False,107,1,507.09,2693.93,6.0,5.0,69.55,50.71,12.08,10.0,26.94,26.94,7.17,1.0,1.0,214.39,2.0
TXN-2023-000134,CUST-008,Fresh,Low,False,23,3,60.82,580.75,22.5,5.0,14.95,18.25,6.37,10.0,29.04,17.42,3.35,1.5,1.0,190.32,8.27
TXN-2023-000135,CUST-008,DetergentsPaper,Low,False,100,3,101.56,2523.69,16.5,5.0,65.0,8.12,12.97,10.0,12.62,12.62,5.38,1.0,1.0,148.22,1.48
TXN-2023-000136,CUST-008,Delicatessen,Low,False,39,5,23.93,998.1,35.0,5.0,25.35,7.66,9.8,10.0,79.85,49.91,4.14,1.5,1.0,340.05,8.72
TXN-2023-000137,CUST-008,Grocery,Low,False,46,3,218.0,1161.41,18.0,5.0,29.9,21.8,7.94,10.0,11.61,11.61,4.13,1.0,1.0,120.0,2.61
TXN-2023-000138,CUST-008,Frozen,Low,False,70,5,109.08,1767.06,32.5,5.0,45.5,43.63,12.45,10.0,35.34,35.34,6.95,1.0,1.0,226.72,3.24
TXN-2023-000139,CUST-008,Grocery,Low,False,46,1,218.0,1168.36,6.0,5.0,29.9,21.8,6.14,10.0,11.68,11.68,3.44,1.0,1.0,105.64,2.3
TXN-2023-000140,CUST-008,Delicatessen,Low,False,63,2,38.65,1587.02,14.0,5.0,40.95,12.37,8.99,10.0,126.96,79.35,4.07,1.5,1.0,452.53,7.18
TXN-2023-000141,CUST-008,Fresh,Low,False,59,2,156.03,1477.32,15.0,5.0,38.35,46.81,8.75,10.0,73.87,44.32,5.7,1.5,1.0,371.69,6.3
TXN-2023-000142,CUST-008,DetergentsPaper,Low,False,60,5,60.94,1504.21,27.5,5.0,39.0,4.87,10.72,10.0,7.52,7.52,4.35,1.0,1.0,116.5,1.94
TXN-2023-000143,CUST-008,Fresh,Medium,False,153,1,404.62,3843.97,7.5,5.0,99.45,182.08,16.79,10.0,192.2,115.32,15.54,1.5,1.2,1158.98,7.58
TXN-2023-000144,CUST-009,Fresh,High,False,4,2,10.58,103.35,15.0,5.0,2.6,6.35,3.39,10.0,5.17,3.1,1.62,1.5,1.8,141.0,35.25
TXN-2023-000145,CUST-009,DetergentsPaper,Medium,False,25,1,25.39,625.99,5.5,5.0,16.25,3.05,4.01,10.0,3.13,3.13,1.69,1.0,1.5,77.64,3.11
TXN-2023-000146,CUST-009,DetergentsPaper,Medium,False,17,5,17.27,444.53,27.5,5.0,11.05,2.07,6.53,10.0,2.22,2.22,2.61,1.0,1.5,103.81,6.11
TXN-2023-000147,CUST-009,Grocery,Medium,False,19,5,90.04,497.13,30.0,5.0,12.35,13.51,7.1,10.0,4.97,4.97,3.4,1.0,1.2,109.56,5.77
