TRANSACTIONID,CUSTOMERID,TRANSACTIONAMOUNT,ISURGENT,BASE_SHIPPING_COST,URGENT_SURCHARGE,SIZE_SURCHARGE,TOTAL_SHIPPING_COST
TXN-2023-000031,CUST-002,2474.52,false,74.24,0.00,0.00,74.24
TXN-2023-000032,CUST-002,2459.85,false,73.80,0.00,0.00,73.80
TXN-2023-000033,CUST-003,7355.12,false,220.65,0.00,66.20,286.85
TXN-2023-000034,CUST-003,3588.89,false,107.67,0.00,32.30,139.97
TXN-2023-000035,CUST-003,3416.48,false,102.49,0.00,30.75,133.24
TXN-2023-000036,CUST-003,1561.35,false,46.84,0.00,0.00,46.84
TXN-2023-000037,CUST-003,1404.01,true,42.12,42.12,0.00,84.24
TXN-2023-000038,CUST-003,3032.51,false,90.98,0.00,27.29,118.27
TXN-2023-000039,CUST-003,4636.80,false,139.10,0.00,41.73,180.84
TXN-2023-000040,CUST-003,1295.43,false,38.86,0.00,0.00,38.86
TXN-2023-000041,CUST-003,2130.17,false,63.91,0.00,0.00,63.91
TXN-2023-000042,CUST-003,2540.88,false,76.23,0.00,0.00,76.23
TXN-2023-000043,CUST-003,3811.44,false,114.34,0.00,34.30,148.65
TXN-2023-000044,CUST-003,1836.92,false,55.11,0.00,0.00,55.11
TXN-2023-000045,CUST-004,658.59,false,19.76,0.00,0.00,19.76
TXN-2023-000046,CUST-004,802.01,false,24.06,0.00,0.00,24.06
TXN-2023-000047,CUST-004,1746.71,false,52.40,0.00,0.00,52.40
TXN-2023-000048,CUST-004,672.90,false,20.19,0.00,0.00,20.19
TXN-2023-000049,CUST-004,309.44,false,9.28,0.00,0.00,9.28
TXN-2023-000050,CUST-004,1510.24,false,45.31,0.00,0.00,45.31
TXN-2023-000051,CUST-004,1131.87,false,33.96,0.00,0.00,33.96
TXN-2023-000052,CUST-004,421.72,false,12.65,0.00,0.00,12.65
TXN-2023-000053,CUST-004,427.59,false,12.83,0.00,0.00,12.83
TXN-2023-000054,CUST-004,526.61,false,15.80,0.00,0.00,15.80
TXN-2023-000055,CUST-004,533.51,false,16.01,0.00,0.00,16.01
TXN-2023-000056,CUST-004,1531.76,false,45.95,0.00,0.00,45.95
TXN-2023-000057,CUST-004,594.93,false,17.85,0.00,0.00,17.85
TXN-2023-000058,CUST-004,376.86,false,11.31,0.00,0.00,11.31
TXN-2023-000059,CUST-004,472.27,true,14.17,14.17,0.00,28.34
TXN-2023-000060,CUST-004,210.88,true,6.33,6.33,0.00,12.65
TXN-2023-000061,CUST-004,486.94,false,14.61,0.00,0.00,14.61
TXN-2023-000062,CUST-004,644.05,false,19.32,0.00,0.00,19.32
TXN-2023-000063,CUST-004,482.10,true,14.46,14.46,0.00,28.93
TXN-2023-000064,CUST-004,641.33,true,19.24,19.24,0.00,38.48
TXN-2023-000065,CUST-004,1234.97,false,37.05,0.00,0.00,37.05
TXN-2023-000066,CUST-004,293.02,false,8.79,0.00,0.00,8.79
TXN-2023-000067,CUST-004,2956.27,false,88.69,0.00,0.00,88.69
TXN-2023-000068,CUST-004,626.56,false,18.80,0.00,0.00,18.80
TXN-2023-000069,CUST-004,542.91,false,16.29,0.00,0.00,16.29
TXN-2023-000070,CUST-004,619.32,false,18.58,0.00,0.00,18.58
TXN-2023-000071,CUST-004,814.10,false,24.42,0.00,0.00,24.42
TXN-2023-000072,CUST-004,1006.69,false,30.20,0.00,0.00,30.20
TXN-2023-000073,CUST-004,358.16,false,10.74,0.00,0.00,10.74
TXN-2023-000074,CUST-004,665.35,false,19.96,0.00,0.00,19.96
TXN-2023-000075,CUST-004,846.91,false,25.41,0.00,0.00,25.41
TXN-2023-000076,CUST-004,622.44,false,18.67,0.00,0.00,18.67
TXN-2023-000077,CUST-004,771.92,true,23.16,23.16,0.00,46.32
TXN-2023-000078,CUST-004,1020.95,false,30.63,0.00,0.00,30.63
TXN-2023-000079,CUST-004,429.95,false,12.90,0.00,0.00,12.90
TXN-2023-000080,CUST-004,389.21,false,11.68,0.00,0.00,11.68
TXN-2023-000081,CUST-005,5021.30,false,150.64,0.00,45.19,195.83
TXN-2023-000082,CUST-005,1227.66,false,36.83,0.00,0.00,36.83
TXN-2023-000083,CUST-005,4606.69,false,138.20,0.00,41.46,179.66
TXN-2023-000084,CUST-005,2761.95,false,82.86,0.00,0.00,82.86
TXN-2023-000085,CUST-005,4560.86,false,136.83,0.00,41.05,177.87
TXN-2023-000086,CUST-005,2808.61,false,84.26,0.00,0.00,84.26
TXN-2023-000087,CUST-005,7670.87,false,230.13,0.00,69.04,299.16
TXN-2023-000088,CUST-005,3314.40,false,99.43,0.00,29.83,129.26
TXN-2023-000089,CUST-005,2936.20,false,88.09,0.00,0.00,88.09
TXN-2023-000090,CUST-005,4404.73,false,132.14,0.00,39.64,171.78
TXN-2023-000091,CUST-005,1381.12,false,41.43,0.00,0.00,41.43
TXN-2023-000092,CUST-005,5405.59,false,162.17,0.00,48.65,210.82
TXN-2023-000093,CUST-006,1111.29,false,33.34,0.00,0.00,33.34
TXN-2023-000094,CUST-006,2021.28,false,60.64,0.00,0.00,60.64
TXN-2023-000095,CUST-006,1576.73,false,47.30,0.00,0.00,47.30
TXN-2023-000096,CUST-006,2067.21,false,62.02,0.00,0.00,62.02
TXN-2023-000097,CUST-006,472.74,false,14.18,0.00,0.00,14.18
TXN-2023-000098,CUST-006,2199.66,false,65.99,0.00,0.00,65.99
TXN-2023-000099,CUST-006,1444.23,false,43.33,0.00,0.00,43.33
TXN-2023-000100,CUST-006,1962.95,false,58.89,0.00,0.00,58.89
TXN-2023-000101,CUST-006,641.01,false,19.23,0.00,0.00,19.23
TXN-2023-000102,CUST-006,1709.26,false,51.28,0.00,0.00,51.28
TXN-2023-000103,CUST-006,1025.85,false,30.78,0.00,0.00,30.78
TXN-2023-000104,CUST-006,943.25,false,28.30,0.00,0.00,28.30
TXN-2023-000105,CUST-006,1407.14,false,42.21,0.00,0.00,42.21
TXN-2023-000106,CUST-006,2030.96,false,60.93,0.00,0.00,60.93
TXN-2023-000107,CUST-006,1452.43,false,43.57,0.00,0.00,43.57
TXN-2023-000108,CUST-006,1479.00,false,44.37,0.00,0.00,44.37
TXN-2023-000109,CUST-006,3165.01,false,94.95,0.00,28.49,123.44
TXN-2023-000110,CUST-007,1180.47,false,35.41,0.00,0.00,35.41
TXN-2023-000111,CUST-007,1902.38,false,57.07,0.00,0.00,57.07
TXN-2023-000112,CUST-007,966.93,false,29.01,0.00,0.00,29.01
TXN-2023-000113,CUST-007,1945.61,false,58.37,0.00,0.00,58.37
TXN-2023-000114,CUST-007,1988.85,false,59.67,0.00,0.00,59.67
TXN-2023-000115,CUST-007,2212.56,false,66.38,0.00,0.00,66.38
TXN-2023-000116,CUST-007,1465.58,true,43.97,43.97,0.00,87.93
TXN-2023-000117,CUST-007,1334.37,false,40.03,0.00,0.00,40.03
TXN-2023-000118,CUST-007,1860.69,false,55.82,0.00,0.00,55.82
TXN-2023-000119,CUST-007,1699.52,false,50.99,0.00,0.00,50.99
TXN-2023-000120,CUST-007,1191.69,false,35.75,0.00,0.00,35.75
TXN-2023-000121,CUST-007,1890.97,false,56.73,0.00,0.00,56.73
TXN-2023-000122,CUST-007,767.14,false,23.01,0.00,0.00,23.01
TXN-2023-000123,CUST-007,1294.16,false,38.82,0.00,0.00,38.82
TXN-2023-000124,CUST-007,1761.29,false,52.84,0.00,0.00,52.84
TXN-2023-000125,CUST-007,825.25,false,24.76,0.00,0.00,24.76
TXN-2023-000126,CUST-007,1551.00,false,46.53,0.00,0.00,46.53
TXN-2023-000127,CUST-007,626.53,false,18.80,0.00,0.00,18.80
TXN-2023-000128,CUST-008,2416.21,false,72.49,0.00,0.00,72.49
TXN-2023-000129,CUST-008,2416.21,false,72.49,0.00,0.00,72.49
TXN-2023-000130,CUST-008,2252.96,false,67.59,0.00,0.00,67.59
TXN-2023-000131,CUST-008,659.54,false,19.79,0.00,0.00,19.79
TXN-2023-000132,CUST-008,2466.25,false,73.99,0.00,0.00,73.99
TXN-2023-000133,CUST-008,2693.93,false,80.82,0.00,0.00,80.82
TXN-2023-000134,CUST-008,580.75,false,17.42,0.00,0.00,17.42
TXN-2023-000135,CUST-008,2523.69,false,75.71,0.00,0.00,75.71
TXN-2023-000136,CUST-008,998.10,false,29.94,0.00,0.00,29.94
TXN-2023-000137,CUST-008,1161.41,false,34.84,0.00,0.00,34.84
TXN-2023-000138,CUST-008,1767.06,false,53.01,0.00,0.00,53.01
TXN-2023-000139,CUST-008,1168.36,false,35.05,0.00,0.00,35.05
TXN-2023-000140,CUST-008,1587.02,false,47.61,0.00,0.00,47.61
TXN-2023-000141,CUST-008,1477.32,false,44.32,0.00,0.00,44.32
TXN-2023-000142,CUST-008,1504.21,false,45.13,0.00,0.00,45.13
TXN-2023-000143,CUST-008,3843.97,false,115.32,0.00,34.60,149.91
TXN-2023-000144,CUST-009,103.35,false,3.10,0.00,0.00,3.10
TXN-2023-000145,CUST-009,625.99,false,18.78,0.00,0.00,18.78
TXN-2023-000146,CUST-009,444.53,false,13.34,0.00,0.00,13.34
TXN-2023-000147,CUST-009,497.13,false,14.91,0.00,0.00,14.91
TXN-2023-000148,CUST-009,309.96,false,9.30,0.00,0.00,9.30
TXN-2023-000149,CUST-009,377.55,false,11.33,0.00,0.00,11.33
TXN-2023-000150,CUST-009,384.93,false,11.55,0.00,0.00,11.55
TXN-2023-000151,CUST-009,407.61,false,12.23,0.00,0.00,12.23
TXN-2023-000152,CUST-009,584.55,false,17.54,0.00,0.00,17.54
TXN-2023-000153,CUST-009,421.68,false,12.65,0.00,0.00,12.65
TXN-2023-000154,CUST-009,421.98,false,12.66,0.00,0.00,12.66
TXN-2023-000155,CUST-009,1243.42,false,37.30,0.00,0.00,37.30
TXN-2023-000156,CUST-009,492.81,false,14.78,0.00,0.00,14.78
TXN-2023-000157,CUST-009,205.92,false,6.18,0.00,0.00,6.18
TXN-2023-000158,CUST-009,534.11,false,16.02,0.00,0.00,16.02
TXN-2023-000159,CUST-009,246.87,false,7.41,0.00,0.00,7.41
TXN-2023-000160,CUST-009,787.65,true,23.63,23.63,0.00,47.26
TXN-2023-000161,CUST-009,855.92,false,25.68,0.00,0.00,25.68
TXN-2023-000162,CUST-009,160.43,false,4.81,0.00,0.00,4.81
TXN-2023-000163,CUST-009,453.86,false,13.62,0.00,0.00,13.62
TXN-2023-000164,CUST-009,832.46,false,24.97,0.00,0.00,24.97
TXN-2023-000165,CUST-009,696.46,false,20.89,0.00,0.00,20.89
TXN-2023-000166,CUST-009,197.81,false,5.93,0.00,0.00,5.93
TXN-2023-000167,CUST-009,211.74,false,6.35,0.00,0.00,6.35
TXN-2023-000168,CUST-009,557.15,false,16.71,0.00,0.00,16.71
TXN-2023-000169,CUST-009,472.56,true,14.18,14.18,0.00,28.35
TXN-2023-000170,CUST-009,411.64,false,12.35,0.00,0.00,12.35
TXN-2023-000171,CUST-009,572.80,false,17.18,0.00,0.00,17.18
TXN-2023-000172,CUST-009,381.51,false,11.45,0.00,0.00,11.45
TXN-2023-000173,CUST-009,321.00,false,9.63,0.00,0.00,9.63
TXN-2023-000174,CUST-009,841.14,true,25.23,25.23,0.00,50.47
TXN-2023-000175,CUST-009,1312.30,false,39.37,0.00,0.00,39.37
TXN-2023-000176,CUST-009,346.77,false,10.40,0.00,0.00,10.40
TXN-2023-000177,CUST-009,277.85,false,8.34,0.00,0.00,8.34
TXN-2023-000178,CUST-009,376.04,false,11.28,0.00,0.00,11.28
TXN-2023-000179,CUST-009,479.90,false,14.40,0.00,0.00,14.40
TXN-2023-000180,CUST-009,146.57,false,4.40,0.00,0.00,4.40
TXN-2023-000181,CUST-009,336.97,false,10.11,0.00,0.00,10.11
TXN-2023-000182,CUST-009,361.11,false,10.83,0.00,0.00,10.83
TXN-2023-000183,CUST-010,4843.15,false,145.29,0.00,43.59,188.88
TXN-2023-000184,CUST-010,3541.49,false,106.24,0.00,31.87,138.12
TXN-2023-000185,CUST-010,2534.66,false,76.04,0.00,0.00,76.04
TXN-2023-000186,CUST-010,822.83,false,24.68,0.00,0.00,24.68
TXN-2023-000187,CUST-010,1996.26,false,59.89,0.00,0.00,59.89
TXN-2023-000188,CUST-010,2187.58,false,65.63,0.00,0.00,65.63
TXN-2023-000189,CUST-010,3132.79,false,93.98,0.00,28.20,122.18
TXN-2023-000190,CUST-010,1400.02,false,42.00,0.00,0.00,42.00
TXN-2023-000191,CUST-010,1784.50,false,53.54,0.00,0.00,53.54
TXN-2023-000192,CUST-010,1828.28,false,54.85,0.00,0.00,54.85
TXN-2023-000193,CUST-010,5347.96,false,160.44,0.00,48.13,208.57
TXN-2023-000194,CUST-010,4560.53,false,136.82,0.00,41.04,177.86
TXN-2023-000195,CUST-010,5651.14,false,169.53,0.00,50.86,220.39
TXN-2023-000196,CUST-010,2731.44,false,81.94,0.00,0.00,81.94
TXN-2023-000197,CUST-010,4299.36,true,128.98,128.98,38.69,296.66
TXN-2023-000198,CUST-011,2631.10,false,78.93,0.00,0.00,78.93
TXN-2023-000199,CUST-011,913.72,false,27.41,0.00,0.00,27.41
TXN-2023-000200,CUST-011,1735.90,false,52.08,0.00,0.00,52.08
TXN-2023-000201,CUST-011,762.15,false,22.86,0.00,0.00,22.86
TXN-2023-000202,CUST-011,1431.66,false,42.95,0.00,0.00,42.95
TXN-2023-000203,CUST-011,3273.48,false,98.20,0.00,29.46,127.67
TXN-2023-000204,CUST-011,1554.02,false,46.62,0.00,0.00,46.62
TXN-2023-000205,CUST-011,2751.60,false,82.55,0.00,0.00,82.55
TXN-2023-000206,CUST-011,991.76,false,29.75,0.00,0.00,29.75
TXN-2023-000207,CUST-011,1670.95,false,50.13,0.00,0.00,50.13
TXN-2023-000208,CUST-011,1670.45,false,50.11,0.00,0.00,50.11
TXN-2023-000209,CUST-011,3038.19,false,91.15,0.00,27.34,118.49
TXN-2023-000210,CUST-011,3665.53,false,109.97,0.00,32.99,142.96
TXN-2023-000211,CUST-011,2832.97,false,84.99,0.00,0.00,84.99
TXN-2023-000212,CUST-011,3231.26,false,96.94,0.00,29.08,126.02
TXN-2023-000213,CUST-011,1709.27,false,51.28,0.00,0.00,51.28
TXN-2023-000214,CUST-012,1646.45,false,49.39,0.00,0.00,49.39
TXN-2023-000215,CUST-012,1736.94,false,52.11,0.00,0.00,52.11
TXN-2023-000216,CUST-012,1384.40,false,41.53,0.00,0.00,41.53
TXN-2023-000217,CUST-012,602.55,false,18.08,0.00,0.00,18.08
TXN-2023-000218,CUST-012,1483.26,false,44.50,0.00,0.00,44.50
TXN-2023-000219,CUST-012,2026.43,false,60.79,0.00,0.00,60.79
TXN-2023-000220,CUST-012,456.53,false,13.70,0.00,0.00,13.70
TXN-2023-000221,CUST-012,1489.54,false,44.69,0.00,0.00,44.69
TXN-2023-000222,CUST-012,2354.52,false,70.64,0.00,0.00,70.64
TXN-2023-000223,CUST-012,2153.45,false,64.60,0.00,0.00,64.60
TXN-2023-000224,CUST-012,1257.19,false,37.72,0.00,0.00,37.72
TXN-2023-000225,CUST-012,1200.11,false,36.00,0.00,0.00,36.00
TXN-2023-000226,CUST-012,1656.65,false,49.70,0.00,0.00,49.70
TXN-2023-000227,CUST-012,740.90,false,22.23,0.00,0.00,22.23
TXN-2023-000228,CUST-012,1070.08,false,32.10,0.00,0.00,32.10
TXN-2023-000229,CUST-013,6786.70,false,203.60,0.00,61.08,264.68
TXN-2023-000230,CUST-013,1747.59,true,52.43,52.43,0.00,104.86
TXN-2023-000231,CUST-013,2597.33,false,77.92,0.00,0.00,77.92
TXN-2023-000232,CUST-013,3860.25,false,115.81,0.00,34.74,150.55
TXN-2023-000233,CUST-013,1937.35,false,58.12,0.00,0.00,58.12
TXN-2023-000234,CUST-013,5731.69,false,171.95,0.00,51.59,223.54
TXN-2023-000235,CUST-013,2195.39,false,65.86,0.00,0.00,65.86
TXN-2023-000236,CUST-013,5476.64,false,164.30,0.00,49.29,213.59
TXN-2023-000237,CUST-013,1793.57,false,53.81,0.00,0.00,53.81
TXN-2023-000238,CUST-013,1952.64,false,58.58,0.00,0.00,58.58
TXN-2023-000239,CUST-013,3332.61,false,99.98,0.00,29.99,129.97
TXN-2023-000240,CUST-013,9001.76,false,270.05,0.00,81.02,351.07
TXN-2023-000241,CUST-013,5018.68,false,150.56,0.00,45.17,195.73
TXN-2023-000242,CUST-013,3943.25,false,118.30,0.00,35.49,153.79
TXN-2023-000243,CUST-013,2313.26,false,69.40,0.00,0.00,69.40
TXN-2023-000244,CUST-013,5200.27,false,156.01,0.00,46.80,202.81
TXN-2023-000245,CUST-014,1165.81,false,34.97,0.00,0.00,34.97
TXN-2023-000246,CUST-014,3828.24,true,114.85,114.85,34.45,264.15
TXN-2023-000247,CUST-014,1858.05,false,55.74,0.00,0.00,55.74
TXN-2023-000248,CUST-014,2005.49,false,60.16,0.00,0.00,60.16
TXN-2023-000249,CUST-014,1676.10,false,50.28,0.00,0.00,50.28
TXN-2023-000250,CUST-014,1861.02,false,55.83,0.00,0.00,55.83
TXN-2023-000251,CUST-014,1707.19,false,51.22,0.00,0.00,51.22
TXN-2023-000252,CUST-014,1698.44,false,50.95,0.00,0.00,50.95
TXN-2023-000253,CUST-014,3161.72,false,94.85,0.00,28.46,123.31
TXN-2023-000254,CUST-014,7388.80,true,221.66,221.66,66.50,509.83
TXN-2023-000255,CUST-014,3818.64,false,114.56,0.00,34.37,148.93
TXN-2023-000256,CUST-014,3449.18,false,103.48,0.00,31.04,134.52
TXN-2023-000257,CUST-014,1243.48,false,37.30,0.00,0.00,37.30
TXN-2023-000258,CUST-014,2201.13,false,66.03,0.00,0.00,66.03
TXN-2023-000259,CUST-014,931.80,false,27.95,0.00,0.00,27.95
TXN-2023-000260,CUST-014,7388.80,false,221.66,0.00,66.50,288.16
TXN-2023-000261,CUST-014,3821.62,false,114.65,0.00,34.39,149.04
TXN-2023-000262,CUST-014,3605.47,false,108.16,0.00,32.45,140.61
TXN-2023-000263,CUST-015,5786.69,false,173.60,0.00,52.08,225.68
TXN-2023-000264,CUST-015,1297.84,false,38.94,0.00,0.00,38.94
TXN-2023-000265,CUST-015,2914.60,false,87.44,0.00,0.00,87.44
TXN-2023-000266,CUST-015,2573.48,false,77.20,0.00,0.00,77.20
TXN-2023-000267,CUST-015,4389.27,false,131.68,0.00,39.50,171.18
TXN-2023-000268,CUST-015,5659.45,false,169.78,0.00,50.94,220.72
TXN-2023-000269,CUST-015,4382.07,false,131.46,0.00,39.44,170.90
TXN-2023-000270,CUST-015,4299.11,true,128.97,128.97,38.69,296.64
TXN-2023-000271,CUST-015,10912.75,false,327.38,0.00,98.21,425.60
TXN-2023-000272,CUST-015,5311.09,false,159.33,0.00,47.80,207.13
TXN-2023-000273,CUST-015,1971.27,false,59.14,0.00,0.00,59.14
TXN-2023-000274,CUST-015,4231.38,false,126.94,0.00,38.08,165.02
TXN-2023-000275,CUST-016,1139.64,false,34.19,0.00,0.00,34.19
TXN-2023-000276,CUST-016,345.71,false,10.37,0.00,0.00,10.37
TXN-2023-000277,CUST-016,427.02,false,12.81,0.00,0.00,12.81
TXN-2023-000278,CUST-016,284.19,false,8.53,0.00,0.00,8.53
TXN-2023-000279,CUST-016,354.79,false,10.64,0.00,0.00,10.64
TXN-2023-000280,CUST-016,423.70,false,12.71,0.00,0.00,12.71
TXN-2023-000281,CUST-016,1165.54,false,34.97,0.00,0.00,34.97
TXN-2023-000282,CUST-016,338.39,false,10.15,0.00,0.00,10.15
TXN-2023-000283,CUST-016,591.58,false,17.75,0.00,0.00,17.75
TXN-2023-000284,CUST-016,304.30,false,9.13,0.00,0.00,9.13
TXN-2023-000285,CUST-016,266.27,true,7.99,7.99,0.00,15.98
TXN-2023-000286,CUST-016,400.19,false,12.01,0.00,0.00,12.01
TXN-2023-000287,CUST-016,683.63,false,20.51,0.00,0.00,20.51
TXN-2023-000288,CUST-016,612.64,false,18.38,0.00,0.00,18.38
TXN-2023-000289,CUST-016,417.55,false,12.53,0.00,0.00,12.53
TXN-2023-000290,CUST-016,770.39,false,23.11,0.00,0.00,23.11
TXN-2023-000291,CUST-016,323.02,false,9.69,0.00,0.00,9.69
TXN-2023-000292,CUST-016,257.39,false,7.72,0.00,0.00,7.72
TXN-2023-000293,CUST-016,291.33,true,8.74,8.74,0.00,17.48
TXN-2023-000294,CUST-016,208.08,true,6.24,6.24,0.00,12.48
TXN-2023-000295,CUST-016,590.03,false,17.70,0.00,0.00,17.70
TXN-2023-000296,CUST-016,623.11,false,18.69,0.00,0.00,18.69
TXN-2023-000297,CUST-016,240.21,false,7.21,0.00,0.00,7.21
TXN-2023-000298,CUST-016,1012.99,false,30.39,0.00,0.00,30.39
TXN-2023-000299,CUST-016,357.94,false,10.74,0.00,0.00,10.74
TXN-2023-000300,CUST-016,248.12,false,7.44,0.00,0.00,7.44
TXN-2023-000301,CUST-016,332.79,false,9.98,0.00,0.00,9.98
TXN-2023-000302,CUST-016,690.90,false,20.73,0.00,0.00,20.73
TXN-2023-000303,CUST-016,479.00,false,14.37,0.00,0.00,14.37
TXN-2023-000304,CUST-016,410.74,false,12.32,0.00,0.00,12.32
TXN-2023-000305,CUST-016,307.89,false,9.24,0.00,0.00,9.24
TXN-2023-000306,CUST-016,589.54,false,17.69,0.00,0.00,17.69
TXN-2023-000307,CUST-016,155.34,false,4.66,0.00,0.00,4.66
TXN-2023-000308,CUST-016,436.49,false,13.09,0.00,0.00,13.09
TXN-2023-000309,CUST-016,299.44,false,8.98,0.00,0.00,8.98
TXN-2023-000310,CUST-016,209.17,false,6.28,0.00,0.00,6.28
TXN-2023-000311,CUST-016,103.19,false,3.10,0.00,0.00,3.10
TXN-2023-000312,CUST-016,268.77,false,8.06,0.00,0.00,8.06
TXN-2023-000313,CUST-017,1651.23,false,49.54,0.00,0.00,49.54
TXN-2023-000314,CUST-017,1605.52,false,48.17,0.00,0.00,48.17
TXN-2023-000315,CUST-017,1411.46,false,42.34,0.00,0.00,42.34
TXN-2023-000316,CUST-017,1019.27,false,30.58,0.00,0.00,30.58
TXN-2023-000317,CUST-017,526.91,false,15.81,0.00,0.00,15.81
TXN-2023-000318,CUST-017,563.10,false,16.89,0.00,0.00,16.89
TXN-2023-000319,CUST-017,1233.84,false,37.02,0.00,0.00,37.02
TXN-2023-000320,CUST-017,1993.74,false,59.81,0.00,0.00,59.81
TXN-2023-000321,CUST-017,2211.13,false,66.33,0.00,0.00,66.33
TXN-2023-000322,CUST-017,952.25,false,28.57,0.00,0.00,28.57
TXN-2023-000323,CUST-017,879.90,false,26.40,0.00,0.00,26.40
TXN-2023-000324,CUST-017,1099.05,false,32.97,0.00,0.00,32.97
TXN-2023-000325,CUST-017,1507.04,false,45.21,0.00,0.00,45.21
TXN-2023-000326,CUST-017,1789.78,false,53.69,0.00,0.00,53.69
TXN-2023-000327,CUST-017,1898.99,false,56.97,0.00,0.00,56.97
TXN-2023-000328,CUST-017,2864.64,false,85.94,0.00,0.00,85.94
TXN-2023-000329,CUST-017,2970.74,false,89.12,0.00,0.00,89.12
TXN-2023-000330,CUST-017,1500.40,false,45.01,0.00,0.00,45.01
TXN-2023-000331,CUST-018,324.32,false,9.73,0.00,0.00,9.73
TXN-2023-000332,CUST-018,255.08,false,7.65,0.00,0.00,7.65
TXN-2023-000333,CUST-018,950.12,false,28.50,0.00,0.00,28.50
TXN-2023-000334,CUST-018,1388.86,true,41.67,41.67,0.00,83.33
TXN-2023-000335,CUST-018,507.27,false,15.22,0.00,0.00,15.22
TXN-2023-000336,CUST-018,695.04,false,20.85,0.00,0.00,20.85
TXN-2023-000337,CUST-018,534.90,false,16.05,0.00,0.00,16.05
TXN-2023-000338,CUST-018,861.32,false,25.84,0.00,0.00,25.84
TXN-2023-000339,CUST-018,866.57,false,26.00,0.00,0.00,26.00
TXN-2023-000340,CUST-018,1111.40,false,33.34,0.00,0.00,33.34
TXN-2023-000341,CUST-018,711.43,false,21.34,0.00,0.00,21.34
TXN-2023-000342,CUST-018,428.92,false,12.87,0.00,0.00,12.87
TXN-2023-000343,CUST-018,834.25,false,25.03,0.00,0.00,25.03
TXN-2023-000344,CUST-018,593.73,false,17.81,0.00,0.00,17.81
TXN-2023-000345,CUST-018,1255.97,false,37.68,0.00,0.00,37.68
TXN-2023-000346,CUST-018,1253.96,false,37.62,0.00,0.00,37.62
TXN-2023-000347,CUST-018,725.42,false,21.76,0.00,0.00,21.76
TXN-2023-000348,CUST-018,1019.81,false,30.59,0.00,0.00,30.59
TXN-2023-000349,CUST-018,920.28,false,27.61,0.00,0.00,27.61
TXN-2023-000350,CUST-018,725.73,false,21.77,0.00,0.00,21.77
TXN-2023-000351,CUST-018,555.54,false,16.67,0.00,0.00,16.67
TXN-2023-000352,CUST-018,551.09,false,16.53,0.00,0.00,16.53
TXN-2023-000353,CUST-018,664.98,false,19.95,0.00,0.00,19.95
TXN-2023-000354,CUST-018,445.05,false,13.35,0.00,0.00,13.35
TXN-2023-000355,CUST-018,276.45,false,8.29,0.00,0.00,8.29
TXN-2023-000356,CUST-018,467.68,false,14.03,0.00,0.00,14.03
TXN-2023-000357,CUST-018,588.46,true,17.65,17.65,0.00,35.31
